playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1014369,Cy Young,Cy Young,BOS,Americans,3,P,154.0,384.6666,7.665411949157715,0.2228870838880539,7.888299033045769
1013485,Honus Wagner,Honus Wagner,PIT,Pirates,27,SS,599.0,5.3333,0.06516104191541672,7.496632099151611,7.561793141067028
1013467,Rube Waddell,Rube Waddell,PHA,Athletics,10,P,117.0,276.3333,6.766408443450928,0.7867722511291504,7.553180694580078
1003155,Ed Delahanty,Ed Delahanty,WAS,Senators,8,LF,539.0,,,6.958229064941406,6.958229064941406
1001304,Bill Bradley,Bill Bradley,CLE,Bronchos,5,3B,597.0,,,6.680803298950195,6.680803298950195
1003049,George Davis,George Davis,CHW,White Sox,4,SS,566.0,,,6.082860946655273,6.082860946655273
1005205,Noodles Hahn,Noodles Hahn,CIN,Reds,18,P,130.0,321.0,6.2509446144104,-0.34817734360694885,5.9027672708034515
1007428,Tommy Leach,Tommy Leach,PIT,Pirates,27,3B,576.0,,,5.852327823638916,5.852327823638916
1014042,Vic Willis,Vic Willis,BSN,Beaneaters,16,P,161.0,410.0,6.185978889465332,-0.4143856167793274,5.771593272686005
1010287,Deacon Phillippe,Deacon Phillippe,PIT,Pirates,27,P,120.0,272.0,5.2787885665893555,0.43680718541145325,5.715595752000809
1010385,Eddie Plank,Eddie Plank,PHA,Athletics,10,P,128.0,300.0,4.930066108703613,0.7718580961227417,5.701924204826355
1000733,Ginger Beaumont,Ginger Beaumont,PIT,Pirates,27,CF,599.0,,,5.684920310974121,5.684920310974121
1013542,Bobby Wallace,Bobby Wallace,SLB,Browns,2,SS,549.0,2.0,0.05661700293421745,5.415264129638672,5.471881132572889
1002280,Fred Clarke,Fred Clarke,PIT,Pirates,27,LF,530.0,,,5.445224285125732,5.445224285125732
1007259,Nap Lajoie,Nap Lajoie,- - -,- - -,0,2B,385.0,,,5.343277170410147,5.343277170410147
1010282,Bill Phillips,Bill Phillips,CIN,Reds,18,P,124.0,269.0,3.85042667388916,1.3634121417999268,5.213838815689087
1005773,Charlie Hickman,Charlie Hickman,- - -,- - -,0,1B,564.0,8.0,-0.031280096620321274,5.02572101354599,4.994440916925669
1012916,Fred Tenney,Fred Tenney,BSN,Beaneaters,16,1B,596.0,,,4.930172920227051,4.930172920227051
1012822,Jesse Tannehill,Jesse Tannehill,PIT,Pirates,27,P/RF,162.0,231.0,4.133755207061768,0.7881342768669128,4.92188948392868
1013864,Doc White,Doc White,PHI,Phillies,26,P/LF,199.0,306.0,4.73829984664917,0.13811205327510834,4.876411899924278
1002455,Jimmy Collins,Jimmy Collins,BOS,Americans,3,3B,474.0,,,4.785926818847656,4.785926818847656
1012599,Sammy Strang,Sammy Strang,- - -,- - -,0,3B,639.0,,,4.782404065132141,4.782404065132141
1002748,Sam Crawford,Sam Crawford,CIN,Reds,18,RF,609.0,,,4.719198226928711,4.719198226928711
1002808,Lave Cross,Lave Cross,PHA,Athletics,10,3B,595.0,,,4.674983024597168,4.674983024597168
1012048,Jimmy Slagle,Jimmy Slagle,CHI,Orphans,17,LF,514.0,,,4.629656791687012,4.629656791687012
1001682,Jesse Burkett,Jesse Burkett,SLB,Browns,2,LF,636.0,1.0,0.018053807318210602,4.539377212524414,4.557431019842625
1004316,Buck Freeman,Buck Freeman,BOS,Americans,3,RF,608.0,,,4.536689281463623,4.536689281463623
1006981,Frank Kitson,Frank Kitson,BRO,Superbas,22,P,121.0,259.6666,3.393357992172241,1.0071054697036743,4.4004634618759155
1011775,Socks Seybold,Socks Seybold,PHA,Athletics,10,RF,579.0,,,4.310125827789307,4.310125827789307
1006555,Fielder Jones,Fielder Jones,CHW,White Sox,4,CF,612.0,,,4.229146957397461,4.229146957397461
1006747,Willie Keeler,Willie Keeler,BRO,Superbas,22,RF,612.0,,,3.997267007827759,3.997267007827759
1002924,Bill Dahlen,Bill Dahlen,BRO,Superbas,22,SS,587.0,,,3.945450782775879,3.945450782775879
1000754,Jake Beckley,Jake Beckley,CIN,Reds,18,1B,579.0,4.0,0.07858697324991226,3.8335392475128174,3.9121262207627296
1000596,Jimmy Barrett,Jimmy Barrett,DET,Tigers,6,CF,594.0,,,3.908022880554199,3.908022880554199
1011843,Jimmy Sheckard,Jimmy Sheckard,- - -,- - -,0,LF,571.0,,,3.887664683163166,3.887664683163166
1012992,Roy Thomas,Roy Thomas,PHI,Phillies,26,CF,626.0,,,3.8344318866729736,3.8344318866729736
1008527,Joe McGinnity,Joe McGinnity,- - -,- - -,0,P,167.0,351.6666,4.50895619392395,-0.6953227818012238,3.8136334121227264
1004988,Danny Green,Danny Green,CHW,White Sox,4,RF,565.0,,,3.7255656719207764,3.7255656719207764
1002179,Jack Chesbro,Jack Chesbro,PIT,Pirates,27,P,119.0,286.3333,3.7597296237945557,-0.05295586958527565,3.70677375420928
1008235,Christy Mathewson,Christy Mathewson,NYG,Giants,30,P,137.0,276.6666,3.787468671798706,-0.25170817971229553,3.5357604920864105
1010987,Claude Ritchey,Claude Ritchey,PIT,Pirates,27,2B,483.0,,,3.5346202850341797,3.5346202850341797
1003317,Bill Dinneen,Bill Dineen,BOS,Americans,3,P,155.0,371.3333,4.951906681060791,-1.4675616025924683,3.4843450784683228
1009992,Freddy Parent,Freddy Parent,BOS,Americans,3,SS,611.0,,,3.468989849090576,3.468989849090576
1009816,Mike O'Neill,Mike O'Neill,STL,Cardinals,28,P,139.0,288.3333,2.491014003753662,0.9478857517242432,3.4388997554779053
1011341,Jimmy Ryan,Jimmy Ryan,WAS,Senators,8,CF,540.0,,,3.38252592086792,3.38252592086792
1013075,Joe Tinker,Joe Tinker,CHI,Orphans,17,SS,538.0,,,3.373375654220581,3.373375654220581
1012879,Jack Taylor,Jack Taylor,CHI,Orphans,17,P,204.0,324.6666,3.2580385208129883,0.11507973074913025,3.3731182515621185
1010305,Wiley Piatt,Wiley Piatt,CHW,White Sox,4,P,98.0,246.0,3.0985255241394043,0.22012276947498322,3.3186482936143875
1008501,Dan McGann,Dan McGann,- - -,- - -,0,1B,536.0,,,3.3086941242218018,3.3086941242218018
1003393,Bill Donovan,Bill Donovan,BRO,Superbas,22,P,174.0,297.6666,3.588210105895996,-0.4172046184539795,3.1710054874420166
1011731,Kip Selbach,Kip Selbach,BAL,Orioles,9,LF,573.0,,,3.164625644683838,3.164625644683838
1012381,Chick Stahl,Chick Stahl,BOS,Americans,3,CF,563.0,,,3.1597437858581543,3.1597437858581543
1010376,Togie Pittinger,Togie Pittinger,BSN,Beaneaters,16,P,153.0,389.3333,3.929518222808838,-0.7934793829917908,3.136038839817047
1003053,Harry Davis,Harry Davis,PHA,Athletics,10,1B,599.0,,,3.10992693901062,3.10992693901062
1009302,George Mullin,George Mullin,DET,Tigers,6,P,129.0,260.0,2.4915153980255127,0.6038675904273987,3.0953829884529114
1005464,Topsy Hartsel,Topsy Hartsel,PHA,Athletics,10,LF,637.0,,,3.078017473220825,3.078017473220825
1003399,Patsy Donovan,Patsy Donovan,STL,Cardinals,28,RF,551.0,,,3.0747530460357666,3.0747530460357666
1005624,Charlie Hemphill,Charlie Hemphill,- - -,- - -,0,RF/CF,565.0,,,3.0521196722984314,3.0521196722984314
1009857,Al Orth,Al Orth,WAS,Senators,8,P,187.0,324.0,3.645064353942871,-0.5988225340843201,3.046241819858551
1010487,Jack Powell,Jack Powell,SLB,Browns,2,P,141.0,328.3333,3.2243599891662598,-0.21897625923156738,3.0053837299346924
1006154,Jim Hughes,Jay Hughes,BRO,Superbas,22,P,100.0,254.0,2.8357741832733154,0.16215573251247406,2.9979299157857895
1006544,Davy Jones,Davy Jones,- - -,- - -,0,RF/CF,351.0,,,2.985253483057022,2.985253483057022
1000891,Bill Bernhard,Bill Bernhard,- - -,- - -,0,P,95.0,226.0,3.1936085894703865,-0.21492856740951538,2.978680022060871
1007008,Johnny Kling,Johnny Kling,CHI,Orphans,17,C,472.0,,,2.965989589691162,2.965989589691162
1003340,John Dobbs,John Dobbs,- - -,- - -,0,CF/LF,555.0,,,2.8795084953308105,2.8795084953308105
1014030,Pop Williams,Pop Williams,CHI,Orphans,17,P,133.0,254.3333,2.3142752647399902,0.5598143339157104,2.8740895986557007
1007470,Sam Leever,Sam Leever,PIT,Pirates,27,P,93.0,222.0,3.170820951461792,-0.3546014726161957,2.8162194788455963
1014117,Lewis Wiltse,Snake Wiltse,- - -,- - -,0,P,206.0,302.0,2.548068404197693,0.24810906872153282,2.7961774729192257
1004158,Elmer Flick,Elmer Flick,- - -,- - -,0,RF,530.0,,,2.7837011218070984,2.7837011218070984
1001356,Kitty Bransfield,Kitty Bransfield,PIT,Pirates,27,1B,442.0,,,2.772292375564575,2.772292375564575
1006776,Joe Kelley,Joe Kelley,- - -,- - -,0,CF,435.0,,,2.7508541345596313,2.7508541345596313
1006278,Charlie Irwin,Charlie Irwin,BRO,Superbas,22,3B,520.0,,,2.731396198272705,2.731396198272705
1011958,Ed Siever,Ed Siever,DET,Tigers,6,P,71.0,188.3333,3.149977445602417,-0.4232030510902405,2.7267743945121765
1012220,Homer Smoot,Homer Smoot,STL,Cardinals,28,CF,566.0,,,2.721151828765869,2.721151828765869
1012466,Harry Steinfeldt,Harry Steinfeldt,CIN,Reds,18,3B,515.0,,,2.6290879249572754,2.6290879249572754
1010131,Heinie Peitz,Heinie Peitz,CIN,Reds,18,C/2B,428.0,,,2.6266114711761475,2.6266114711761475
1002131,Frank Chance,Frank Chance,CHI,Orphans,17,C/1B,285.0,,,2.596359968185425,2.596359968185425
1014005,Jimmy Williams,Jimmy Williams,BAL,Orioles,9,2B,545.0,,,2.596198320388794,2.596198320388794
1003722,Kid Elberfeld,Kid Elberfeld,DET,Tigers,6,SS,562.0,,,2.586979866027832,2.586979866027832
1006630,Addie Joss,Addie Joss,CLE,Bronchos,5,P,115.0,269.3333,3.735687732696533,-1.1707611083984375,2.5649266242980957
1002579,Duff Cooley,Duff Cooley,BSN,Beaneaters,16,LF,596.0,,,2.5643162727355957,2.5643162727355957
1005028,Ed Gremminger,Ed Gremminger,BSN,Beaneaters,16,3B,572.0,,,2.5516645908355713,2.5516645908355713
1004404,Dave Fultz,Dave Fultz,PHA,Athletics,10,CF,605.0,,,2.493936538696289,2.493936538696289
1002668,Bill Coughlin,Bill Coughlin,WAS,Senators,8,3B/SS,506.0,,,2.4826009273529053,2.4826009273529053
1009942,Dick Padden,Dick Padden,SLB,Browns,2,2B,461.0,,,2.428119421005249,2.428119421005249
1008763,John Menefee,Jock Menefee,CHI,Orphans,17,P/1B/RF,252.0,197.3333,2.2779641151428223,0.12571236491203308,2.4036764800548553
1006097,Harry Howell,Harry Howell,BAL,Orioles,9,P/2B,377.0,199.0,2.228370189666748,0.15268363058567047,2.3810538202524185
1006252,Ham Iburg,Ham Iburg,PHI,Phillies,26,P,90.0,236.0,2.6863863468170166,-0.33628731966018677,2.35009902715683
1006763,Bill Keister,Bill Keister,WAS,Senators,8,2B/RF,515.0,,,2.3058526515960693,2.3058526515960693
1002038,James Casey,Doc Casey,DET,Tigers,6,3B,580.0,,,2.2916817665100098,2.2916817665100098
1003430,Patsy Dougherty,Patsy Dougherty,BOS,Americans,3,LF,489.0,,,2.2544748783111572,2.2544748783111572
1002544,Wid Conroy,Wid Conroy,PIT,Pirates,27,SS,404.0,,,2.2343785762786865,2.2343785762786865
1005587,Emmet Heidrick,Emmet Heidrick,SLB,Browns,2,CF,501.0,1.0,0.006499192211776972,2.2063448429107666,2.2128440351225436
