playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1011327,Babe Ruth,Babe Ruth,NYY,Yankees,9,RF/LF,681.0,,,12.253963470458984,12.253963470458984
1006030,Rogers Hornsby,Rogers Hornsby,STL,Cardinals,28,2B,640.0,,,12.214197158813477,12.214197158813477
1016818,Nip Winters,Nip Winters,HIL,Club,1102,P,89.0,208.0,7.201958656311035,0.8859753012657166,8.087933957576752
1013342,Dazzy Vance,Dazzy Vance,BRO,Robins,22,P,125.0,308.3333,7.728236675262451,-0.19453148543834686,7.533705189824104
1004364,Frankie Frisch,Frankie Frisch,NYG,Giants,30,2B,675.0,,,7.483229160308838,7.483229160308838
1013828,Zack Wheat,Zack Wheat,BRO,Robins,22,LF,624.0,,,6.811435222625732,6.811435222625732
1014707,Dave Brown,Dave Brown,NLG,Lincoln Giants,1103,P,76.0,179.6666,6.273197174072266,0.4291195273399353,6.702316701412201
1004264,Jack Fournier,Jack Fournier,BRO,Robins,22,1B,669.0,,,6.473811149597168,6.473811149597168
1004893,Goose Goslin,Goose Goslin,WAS,Senators,8,LF,673.0,,,6.391772747039795,6.391772747039795
1005590,Harry Heilmann,Harry Heilmann,DET,Tigers,6,RF,678.0,,,6.19163703918457,6.19163703918457
1014390,Ross Youngs,Ross Youngs,NYG,Giants,30,RF,612.0,,,6.1772308349609375,6.1772308349609375
1006511,Walter Johnson,Walter Johnson,WAS,Senators,8,P,119.0,277.6666,4.944126129150391,0.6671565771102905,5.611282706260681
1014280,Glenn Wright,Glenn Wright,PIT,Pirates,27,SS,662.0,,,5.525947570800781,5.525947570800781
1011918,Urban Shocker,Urban Shocker,SLB,Browns,2,P,99.0,246.3333,4.7023444175720215,0.7856625914573669,5.488007009029388
1015976,Dobie Moore,Dobie Moore,KCM,Monarchs,1163,SS,330.0,,,5.390042304992676,5.390042304992676
1003707,Howard Ehmke,Howard Ehmke,BOS,Red Sox,3,P,135.0,315.0,5.5386481285095215,-0.1918354630470276,5.346812665462494
1016321,Red Ryan,Red Ryan,HIL,Club,1102,P,73.0,190.0,5.652004718780518,-0.3256227672100067,5.326381951570511
1002378,Ty Cobb,Ty Cobb,DET,Tigers,6,CF,726.0,,,5.183040618896484,5.183040618896484
1015218,Jelly Gardner,Jelly Gardner,CAG,American Giants,1151,CF,340.0,,,5.17375373840332,5.17375373840332
1016287,Bullet Rogan,Bullet Rogan,KCM,Monarchs,1163,P,162.0,175.0,3.2153100967407227,1.9502294063568115,5.165539503097534
1006799,George Kelly,George Kelly,NYG,Giants,30,1B,627.0,,,5.005866527557373,5.005866527557373
1002602,Wilbur Cooper,Wilbur Cooper,PIT,Pirates,27,P,110.0,268.6666,3.921259880065918,1.0349491834640503,4.956209063529968
1011813,Joe Shaute,Joe Shaute,CLE,Indians,5,P,117.0,283.0,3.901134490966797,0.9907867312431335,4.89192122220993
1005795,Andy High,Andy High,BRO,Robins,22,2B,654.0,,,4.869532108306885,4.869532108306885
1002914,Kiki Cuyler,Kiki Cuyler,PIT,Pirates,27,RF/LF,515.0,,,4.858033180236816,4.858033180236816
1002451,Eddie Collins,Eddie Collins,CHW,White Sox,4,2B,676.0,,,4.853575706481934,4.853575706481934
1014838,Oscar Charleston,Oscar Charleston,HBG,Giants,1101,CF,233.0,,,4.79286003112793,4.79286003112793
1015668,Newt Joseph,Newt Joseph,KCM,Monarchs,1163,3B,292.0,,,4.776198387145996,4.776198387145996
1016595,Cristóbal Torriente,Cristóbal Torriente,CAG,American Giants,1151,LF,304.0,,,4.593626499176025,4.593626499176025
1010900,Sam Rice,Sam Rice,WAS,Senators,8,RF,712.0,,,4.549001216888428,4.549001216888428
1006002,Harry Hooper,Harry Hooper,CHW,White Sox,4,RF,559.0,,,4.536534309387207,4.536534309387207
1016502,Sam Streeter,Sam Streeter,BBB,Black Barons,1149,P,79.0,200.3333,4.311913967132568,0.18432027101516724,4.496234238147736
1008313,Carl Mays,Carl Mays,CIN,Reds,18,P,87.0,226.0,3.7276883125305176,0.7539424896240234,4.481630802154541
1005061,Burleigh Grimes,Burleigh Grimes,BRO,Robins,22,P,133.0,310.6666,3.6701154708862305,0.7125336527824402,4.382649123668671
1010116,Roger Peckinpaugh,Roger Peckinpaugh,WAS,Senators,8,SS,615.0,,,4.3528313636779785,4.3528313636779785
1010962,Topper Rigney,Topper Rigney,DET,Tigers,6,SS,633.0,,,4.322196006774902,4.322196006774902
1012309,Tristram Speaker,Tris Speaker,CLE,Indians,5,CF,575.0,,,4.3126912117004395,4.3126912117004395
1006316,Baby Doll Jacobson,Baby Doll Jacobson,SLB,Browns,2,CF,642.0,,,4.286690711975098,4.286690711975098
1004947,George Grantham,George Grantham,CHC,Cubs,17,2B,539.0,,,4.262742042541504,4.262742042541504
1005591,Fred Heimach,Fred Heimach,PHA,Athletics,10,P,96.0,198.0,3.6116676330566406,0.6330206990242004,4.244688332080841
1014012,Ken Williams,Ken Williams,SLB,Browns,2,LF,479.0,,,4.212457180023193,4.212457180023193
1010161,Herb Pennock,Herb Pennock,NYY,Yankees,9,P,119.0,286.3333,4.396332740783691,-0.26616042852401733,4.130172312259674
1000646,Johnny Bassler,Johnny Bassler,DET,Tigers,6,C,456.0,,,4.114187717437744,4.114187717437744
1001944,Max Carey,Max Carey,PIT,Pirates,27,CF,683.0,,,4.085105895996094,4.085105895996094
1006314,Travis Jackson,Travis Jackson,NYG,Giants,30,SS,633.0,,,4.000093460083008,4.000093460083008
1003911,Bibb Falk,Bibb Falk,CHW,White Sox,4,LF,594.0,,,3.96767258644104,3.96767258644104
1006355,Charlie Jamieson,Charlie Jamieson,CLE,Indians,5,LF,660.0,,,3.8958041667938232,3.8958041667938232
1006644,Joe Judge,Joe Judge,WAS,Senators,8,1B,594.0,,,3.8919456005096436,3.8919456005096436
1013981,Cy Williams,Cy Williams,PHI,Phillies,26,CF,636.0,,,3.888096332550049,3.888096332550049
1012205,Sherry Smith,Sherry Smith,CLE,Indians,5,P,97.0,247.6666,4.038045406341553,-0.1799735575914383,3.8580718487501144
1001961,Hal Carlson,Hal Carlson,PHI,Phillies,26,P,80.0,203.6666,3.5865492820739746,0.2577233910560608,3.8442726731300354
1011008,Eppa Rixey,Eppa Rixey,CIN,Reds,18,P,95.0,238.3333,3.5665788650512695,0.14837892353534698,3.7149577885866165
1007156,Ray Kremer,Ray Kremer,PIT,Pirates,27,P,96.0,259.3333,4.148564338684082,-0.4364296495914459,3.712134689092636
1011766,Joe Sewell,Joe Sewell,CLE,Indians,5,SS,685.0,,,3.7020773887634277,3.7020773887634277
1011825,Bob Shawkey,Bob Shawkey,NYY,Yankees,9,P,81.0,207.6666,2.745880126953125,0.8576014041900635,3.6034815311431885
1005502,Joe Hauser,Joe Hauser,PHA,Athletics,10,1B,634.0,,,3.569700002670288,3.569700002670288
1005421,Joe Harris,Joe Harris,BOS,Red Sox,3,1B,592.0,,,3.544027805328369,3.544027805328369
1001754,Bullet Joe Bush,Joe Bush,NYY,Yankees,9,P,132.0,252.0,2.0863144397735596,1.4157925844192505,3.50210702419281
1005078,Heinie Groh,Heinie Groh,NYG,Giants,30,3B,635.0,,,3.4766452312469482,3.4766452312469482
1008099,Rabbit Maranville,Rabbit Maranville,PIT,Pirates,27,2B,640.0,,,3.4699742794036865,3.4699742794036865
1011850,Earl Sheely,Earl Sheely,CHW,White Sox,4,1B,662.0,,,3.4400484561920166,3.4400484561920166
1005458,Gabby Hartnett,Gabby Hartnett,CHC,Cubs,17,C,407.0,,,3.4251303672790527,3.4251303672790527
1016159,Robert Poindexter,Robert Poindexter,BBB,Black Barons,1149,P,70.0,165.3333,2.742375135421753,0.6702283024787903,3.412603437900543
1007843,Dolf Luque,Dolf Luque,CIN,Reds,18,P,82.0,219.3333,3.4211909770965576,-0.013457325287163258,3.4077336518093944
1009414,Glenn Myatt,Glenn Myatt,CLE,Indians,5,C,384.0,,,3.403423547744751,3.403423547744751
1016150,Bill Pierce,Bill Pierce,DS,Stars,1161,1B,273.0,,,3.313565254211426,3.313565254211426
1008705,Lee Meadows,Lee Meadows,PIT,Pirates,27,P,84.0,229.3333,3.5093438625335693,-0.212863028049469,3.2964808344841003
1011174,Eddie Rommel,Eddie Rommel,PHA,Athletics,10,P,105.0,278.0,4.018205165863037,-0.756271243095398,3.261933922767639
1001023,Ray Blades,Ray Blades,STL,Cardinals,28,LF,514.0,,,3.2595396041870117,3.2595396041870117
1008637,Marty McManus,Marty McManus,SLB,Browns,2,2B,517.0,,,3.231339454650879,3.231339454650879
1011247,Edd Roush,Edd Roush,CIN,Reds,18,CF,519.0,,,3.2306478023529053,3.2306478023529053
1016700,Willie Wells,Willie Wells,SLS,Stars,1168,SS,184.0,,,3.2176692485809326,3.2176692485809326
1001093,Lu Blue,Lu Blue,DET,Tigers,6,1B,476.0,,,3.1244094371795654,3.1244094371795654
1002780,Hughie Critz,Hughie Critz,CIN,Reds,18,2B,443.0,,,3.116285800933838,3.116285800933838
1010355,Babe Pinelli,Babe Pinelli,CIN,Reds,18,3B,580.0,,,3.1129775047302246,3.1129775047302246
1010365,Wally Pipp,Wally Pipp,NYY,Yankees,9,1B,663.0,,,3.0764126777648926,3.0764126777648926
1000566,Jesse Barnes,Jesse Barnes,BSN,Braves,16,P,100.0,267.6666,3.179417133331299,-0.10998077690601349,3.0694363564252853
1015416,Rats Henderson,Rats Henderson,AC,Bacharach Giants,1097,P,32.0,69.6666,2.941124677658081,0.05636201053857803,2.997486688196659
1001398,Rube Bressler,Rube Bressler,CIN,Reds,18,1B/LF,415.0,,,2.9964468479156494,2.9964468479156494
1016079,Juan Padrón,Juan Padrón,CAG,American Giants,1151,P,58.0,141.0,3.032937526702881,-0.057222336530685425,2.9757151901721954
1014405,Tom Zachary,Tom Zachary,WAS,Senators,8,P,81.0,202.6666,2.5165624618530273,0.45898503065109253,2.97554749250412
1002682,Stan Coveleski,Stan Coveleski,CLE,Indians,5,P,94.0,240.3333,3.4851417541503906,-0.5173276662826538,2.967814087867737
1001187,Ike Boone,Ike Boone,BOS,Red Sox,3,RF,545.0,,,2.966017484664917,2.966017484664917
1009217,Johnny Morrison,Johnny Morrison,PIT,Pirates,27,P,89.0,237.6666,3.3140530586242676,-0.3589017391204834,2.955151319503784
1015816,Dave Malarcher,Dave Malarcher,CAG,American Giants,1151,3B,323.0,,,2.912649631500244,2.912649631500244
1003390,Pete Donohue,Pete Donohue,CIN,Reds,18,P,80.0,222.3333,2.9017834663391113,-0.02137504145503044,2.880408424884081
1013266,George Uhle,George Uhle,CLE,Indians,5,P,112.0,196.3333,2.112058401107788,0.7309298515319824,2.8429882526397705
1009255,Johnny Mostil,Johnny Mostil,CHW,White Sox,4,CF,455.0,,,2.8305416107177734,2.8305416107177734
1008817,Bob Meusel,Bob Meusel,NYY,Yankees,9,RF/LF,630.0,,,2.808995485305786,2.808995485305786
1015802,Dick Lundy,Dick Lundy,AC,Bacharach Giants,1097,SS,265.0,,,2.7957098484039307,2.7957098484039307
1015599,Judy Johnson,Judy Johnson,HIL,Club,1102,3B,276.0,,,2.7571418285369873,2.7571418285369873
1000857,Rube Benton,Rube Benton,CIN,Reds,18,P,51.0,162.6666,2.4636008739471436,0.28707873821258545,2.750679612159729
1014328,Emil Yde,Emil Yde,PIT,Pirates,27,P,92.0,194.0,2.6097586154937744,0.1329324096441269,2.7426910251379013
