playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1002378,Ty Cobb,Ty Cobb,DET,Tigers,6,CF,654.0,,,10.989683151245117,10.989683151245117
1006301,Joe Jackson,Joe Jackson,CLE,Naps,5,RF/CF,641.0,,,9.344643592834473,9.344643592834473
1013570,Ed Walsh,Ed Walsh,CHW,White Sox,4,P,163.0,368.6666,7.63853120803833,-0.0349947027862072,7.603536505252123
1013485,Honus Wagner,Honus Wagner,PIT,Pirates,27,SS,558.0,,,6.962173938751221,6.962173938751221
1014224,Joe Wood,Joe Wood,BOS,Red Sox,3,P,105.0,275.6666,6.440610885620117,0.45709675550460815,6.897707641124725
1000128,Grover Alexander,Pete Alexander,PHI,Phillies,26,P,140.0,367.0,7.23776388168335,-0.4062381982803345,6.831525683403015
1002451,Eddie Collins,Eddie Collins,PHA,Athletics,10,2B,588.0,,,6.814527988433838,6.814527988433838
1008235,Christy Mathewson,Christy Mathewson,NYG,Giants,30,P,121.0,307.0,6.7736005783081055,-0.007840084843337536,6.765760493464768
1000041,Babe Adams,Babe Adams,PIT,Pirates,27,P,107.0,293.3333,6.230983257293701,0.41050419211387634,6.6414874494075775
1000453,Home Run Baker,Frank Baker,PHA,Athletics,10,3B,659.0,,,6.5218586921691895,6.5218586921691895
1006511,Walter Johnson,Walter Johnson,WAS,Senators,8,P,134.0,322.3333,5.941563606262207,0.43354421854019165,6.375107824802399
1003467,Larry Doyle,Larry Doyle,NYG,Giants,30,2B,622.0,,,5.918917655944824,5.918917655944824
1002748,Sam Crawford,Sam Crawford,DET,Tigers,6,RF,648.0,,,5.881308078765869,5.881308078765869
1011631,Frank Schulte,Frank Schulte,CHC,Cubs,17,RF,687.0,,,5.8693389892578125,5.8693389892578125
1012309,Tristram Speaker,Tris Speaker,BOS,Red Sox,3,CF,589.0,,,5.850561618804932,5.850561618804932
1002752,Birdie Cree,Birdie Cree,NYH,Highlanders,9,LF,588.0,,,5.697717666625977,5.697717666625977
1011843,Jimmy Sheckard,Jimmy Sheckard,CHC,Cubs,17,LF,704.0,,,5.675864219665527,5.675864219665527
1004223,Russ Ford,Russ Ford,NYH,Highlanders,9,P,109.0,281.3333,5.418222427368164,-0.10092327743768692,5.317299149930477
1007093,Ed Konetchy,Ed Konetchy,STL,Cardinals,28,1B,680.0,,,5.258368968963623,5.258368968963623
1001547,Mordecai Brown,Mordecai Brown,CHC,Cubs,17,P,100.0,270.0,4.664054870605469,0.5128551721572876,5.176910042762756
1008125,Rube Marquard,Rube Marquard,NYG,Giants,30,P,110.0,277.6666,5.249516010284424,-0.19410467147827148,5.055411338806152
1008856,Clyde Milan,Clyde Milan,WAS,Senators,8,CF,705.0,,,4.926999568939209,4.926999568939209
1000662,Johnny Bates,Johnny Bates,CIN,Reds,18,CF,646.0,,,4.646439552307129,4.646439552307129
1002583,Jack Coombs,Jack Coombs,PHA,Athletics,10,P,152.0,336.6666,2.922041654586792,1.7235766649246216,4.645618319511414
1013075,Joe Tinker,Joe Tinker,CHC,Cubs,17,SS,593.0,,,4.5110979080200195,4.5110979080200195
1008783,Fred Merkle,Fred Merkle,NYG,Giants,30,1B,604.0,,,4.322214126586914,4.322214126586914
1012234,Fred Snodgrass,Fred Snodgrass,NYG,Giants,30,CF,647.0,,,4.220282077789307,4.220282077789307
1007494,Lefty Leifield,Lefty Leifield,PIT,Pirates,27,P,124.0,318.0,4.124608516693115,0.03909680247306824,4.1637053191661835
1009352,Danny Murphy,Danny Murphy,PHA,Athletics,10,RF,593.0,,,4.106760501861572,4.106760501861572
1008573,Matty McIntyre,Matty McIntyre,CHW,White Sox,4,RF,648.0,,,4.105257511138916,4.105257511138916
1004528,Larry Gardner,Larry Gardner,BOS,Red Sox,3,2B/3B,593.0,,,4.066592216491699,4.066592216491699
1005745,Buck Herzog,Buck Herzog,- - -,- - -,0,3B/SS,635.0,,,4.057184100151062,4.057184100151062
1007761,Harry Lord,Harry Lord,CHW,White Sox,4,3B,630.0,,,4.050821304321289,4.050821304321289
1006002,Harry Hooper,Harry Hooper,BOS,Red Sox,3,RF,614.0,,,4.047956943511963,4.047956943511963
1011281,Nap Rucker,Nap Rucker,BRO,Dodgers,22,P,114.0,315.6666,3.859461545944214,0.14397689700126648,4.00343844294548
1002280,Fred Clarke,Fred Clarke,PIT,Pirates,27,LF,460.0,,,4.000638484954834,4.000638484954834
1000210,Red Ames,Red Ames,NYG,Giants,30,P,72.0,205.0,4.352598190307617,-0.42380282282829285,3.9287953674793243
1006148,Miller Huggins,Miller Huggins,STL,Cardinals,28,2B,626.0,,,3.8939647674560547,3.8939647674560547
1014444,Heinie Zimmerman,Heinie Zimmerman,CHC,Cubs,17,2B,583.0,,,3.875169038772583,3.875169038772583
1003005,Jake Daubert,Jake Daubert,BRO,Dodgers,22,1B,652.0,,,3.862813949584961,3.862813949584961
1012673,George Suggs,George Suggs,CIN,Reds,18,P,102.0,260.6666,3.18630051612854,0.6416561603546143,3.8279566764831543
1007759,Bris Lord,Bris Lord,PHA,Athletics,10,LF,631.0,,,3.812939167022705,3.812939167022705
1004149,Art Fletcher,Art Fletcher,NYG,Giants,30,SS,377.0,,,3.7692863941192627,3.7692863941192627
