playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1006396,Hughie Jennings,Hughie Jennings,BAL,Orioles,1006,SS,613.0,,,8.156035423278809,8.156035423278809
1005517,Pink Hawley,Pink Hawley,PIT,Pirates,27,P,193.0,444.3333,6.507500171661377,1.0442605018615723,7.551760673522949
1003155,Ed Delahanty,Ed Delahanty,PHI,Phillies,26,LF,578.0,,,7.462749481201172,7.462749481201172
1005270,Billy Hamilton,Billy Hamilton,PHI,Phillies,26,CF,629.0,,,6.851531505584717,6.851531505584717
1006776,Joe Kelley,Joe Kelley,BAL,Orioles,1006,LF,617.0,,,6.470099449157715,6.470099449157715
1002884,Nig Cuppy,Nig Cuppy,CLE,Spiders,1026,P,165.0,353.0,5.660582542419434,0.7912681698799133,6.451850712299347
1014369,Cy Young,Cy Young,CLE,Spiders,1026,P,154.0,369.6666,6.7439961433410645,-0.33462241291999817,6.409373730421066
1013024,Sam Thompson,Sam Thompson,PHI,Phillies,26,RF,576.0,,,6.258984088897705,6.258984088897705
1009564,Kid Nichols,Kid Nichols,BSN,Beaneaters,16,P,172.0,379.6666,6.638019561767578,-0.621334969997406,6.016684591770172
1006747,Willie Keeler,Willie Keeler,BAL,Orioles,1006,RF,637.0,,,5.995841026306152,5.995841026306152
1001682,Jesse Burkett,Jesse Burkett,CLE,Spiders,1026,LF,639.0,,,5.939483165740967,5.939483165740967
1005047,Mike Griffin,Mike Griffin,BRO,Grooms,22,CF,631.0,,,5.90446138381958,5.90446138381958
1007315,Bill Lange,Bill Lange,CHI,Colts,17,CF,546.0,,,5.78285551071167,5.78285551071167
1008542,John McGraw,John McGraw,BAL,Orioles,1006,3B,459.0,,,5.75285005569458,5.75285005569458
1005038,Clark Griffith,Clark Griffith,CHI,Colts,17,P,163.0,353.0,5.318972587585449,0.37583673000335693,5.694809317588806
1012878,Jack Taylor,Jack Taylor,PHI,Phillies,26,P,165.0,335.0,4.831775665283203,0.3670687675476074,5.1988444328308105
1012485,Jake Stenzel,Jake Stenzel,PIT,Pirates,27,CF,588.0,,,5.130967617034912,5.130967617034912
1011308,Amos Rusie,Amos Rusie,NYG,Giants,30,P,179.0,393.3333,5.522676467895508,-0.8832384347915649,4.639438033103943
1010025,Tom Parrott,Tom Parrott,CIN,Reds,18,P,218.0,263.3333,3.574517250061035,1.0025277137756348,4.57704496383667
1002024,Ed Cartwright,Ed Cartwright,WAS,Senators,1082,1B,531.0,,,4.556366920471191,4.556366920471191
1008581,Ed McKean,Ed McKean,CLE,Spiders,1026,SS,628.0,,,4.466362476348877,4.466362476348877
1003049,George Davis,George Davis,NYG,Giants,30,3B,490.0,,,4.4277024269104,4.4277024269104
1013062,Mike Tiernan,Mike Tiernan,NYG,Giants,30,RF,548.0,,,4.41248083114624,4.41248083114624
1003533,Hugh Duffy,Hugh Duffy,BSN,Beaneaters,16,CF,614.0,,,4.381187915802002,4.381187915802002
1002338,Jack Clements,Jack Clements,PHI,Phillies,26,C,355.0,,,4.303850173950195,4.303850173950195
1010880,Billy Rhines,Billy Rhines,CIN,Reds,18,P,124.0,267.6666,4.448518753051758,-0.26251354813575745,4.186005204916
1006633,Bill Joyce,Bill Joyce,WAS,Senators,1082,3B,591.0,,,4.127628326416016,4.127628326416016
1002273,Dad Clarke,Dad Clarke,NYG,Giants,30,P,130.0,281.6666,4.088568687438965,-0.12318724393844604,3.965381443500519
1003607,Frank Dwyer,Frank Dwyer,CIN,Reds,18,P,119.0,280.3333,3.639658212661743,0.18916252255439758,3.8288207352161407
1000754,Jake Beckley,Jake Beckley,PIT,Pirates,27,1B,590.0,,,3.825437545776367,3.825437545776367
1011731,Kip Selbach,Kip Selbach,WAS,Senators,1082,LF,592.0,,,3.696847915649414,3.696847915649414
1000518,Jimmy Bannon,Jimmy Bannon,BSN,Beaneaters,16,RF,560.0,3.0,0.0021358306985348463,3.631272077560425,3.6334079082589597
1001461,Steve Brodie,Steve Brodie,BAL,Orioles,1006,CF,577.0,,,3.470808982849121,3.470808982849121
1008553,Deacon McGuire,Deacon McGuire,WAS,Senators,1082,C,583.0,,,3.447718858718872,3.447718858718872
1012926,Adonis Terry,Adonis Terry,CHI,Colts,17,P,145.0,311.3333,4.2818193435668945,-0.8593546748161316,3.422464668750763
1002537,Roger Connor,Roger Connor,STL,Browns,28,1B,465.0,,,3.391817569732666,3.391817569732666
1008887,Dusty Miller,Dusty Miller,CIN,Reds,18,RF,573.0,,,3.3559226989746094,3.3559226989746094
1002008,Kid Carsey,Kid Carsey,PHI,Phillies,26,P,168.0,342.3333,2.786738395690918,0.49639636278152466,3.2831347584724426
1002579,Duff Cooley,Duff Cooley,STL,Browns,28,LF,604.0,,,3.271815776824951,3.271815776824951
1013357,George Van Haltren,George Van Haltren,NYG,Giants,30,CF,587.0,5.0,0.006935563404113054,3.1737821102142334,3.1807176736183465
1012547,Jack Stivetts,Jack Stivetts,BSN,Beaneaters,16,P,166.0,291.0,4.265047550201416,-1.1621134281158447,3.1029341220855713
1005899,Bill Hoffer,Bill Hoffer,BAL,Orioles,1006,P,142.0,314.0,3.252046585083008,-0.2254989892244339,3.026547595858574
