playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1008082,Mickey Mantle,Mickey Mantle,NYY,Yankees,9,CF,652.0,,,11.518294334411621,11.518294334411621
1012230,Duke Snider,Duke Snider,BRO,Dodgers,22,CF,652.0,,,7.472980976104736,7.472980976104736
1011671,Herb Score,Herb Score,CLE,Indians,5,P,100.0,249.3333,6.7533369064331055,0.19459980726242065,6.947936713695526
1008315,Willie Mays,Willie Mays,NYG,Giants,30,CF,650.0,,,6.9459686279296875,6.9459686279296875
1000001,Hank Aaron,Hank Aaron,MIL,Braves,16,RF,660.0,,,6.8704423904418945,6.8704423904418945
1014309,Early Wynn,Early Wynn,CLE,Indians,5,P,113.0,277.6666,6.135014057159424,0.524585485458374,6.659599542617798
1000898,Yogi Berra,Yogi Berra,NYY,Yankees,9,C,597.0,,,6.394904136657715,6.394904136657715
1006678,Al Kaline,Al Kaline,DET,Tigers,6,RF,693.0,,,6.283146858215332,6.283146858215332
1014040,Ted Williams,Ted Williams,BOS,Red Sox,3,LF,503.0,,,6.265664577484131,6.265664577484131
1008984,Minnie Minoso,Minnie Minoso,CHW,White Sox,4,LF,665.0,,,6.182799816131592,6.182799816131592
1004724,Jim Gilliam,Jim Gilliam,BRO,Dodgers,22,2B/LF,701.0,,,5.975185394287109,5.975185394287109
1001409,Tom Brewer,Tom Brewer,BOS,Red Sox,3,P,101.0,244.3333,5.243651390075684,0.6968877911567688,5.940539181232452
1009529,Don Newcombe,Don Newcombe,BRO,Dodgers,22,P,128.0,268.0,5.002453327178955,0.8974003791809082,5.899853706359863
1008287,Charlie Maxwell,Charlie Maxwell,DET,Tigers,6,LF,592.0,,,5.842838287353516,5.842838287353516
1004355,Bob Friend,Bob Friend,PIT,Pirates,27,P,109.0,314.3333,6.096667289733887,-0.2890760600566864,5.8075912296772
1011066,Frank Robinson,Frank Robinson,CIN,Redlegs,18,LF,668.0,,,5.765048980712891,5.765048980712891
1007364,Frank Lary,Frank Lary,DET,Tigers,6,P,119.0,294.0,5.5188727378845215,0.06415443122386932,5.583027169108391
1001283,Ken Boyer,Ken Boyer,STL,Cardinals,28,3B,639.0,,,5.577853679656982,5.577853679656982
1008236,Eddie Mathews,Eddie Mathews,MIL,Braves,16,3B,651.0,,,5.439711570739746,5.439711570739746
1004227,Whitey Ford,Whitey Ford,NYY,Yankees,9,P,92.0,225.6666,4.998377799987793,0.3864973485469818,5.384875148534775
1005893,Billy Hoeft,Billy Hoeft,DET,Tigers,6,P,97.0,248.0,4.581432819366455,0.766369104385376,5.347801923751831
1010326,Billy Pierce,Billy Pierce,CHW,White Sox,4,P,113.0,276.3333,5.787484645843506,-0.4410432279109955,5.34644141793251
1010340,Jim Piersall,Jim Piersall,BOS,Red Sox,3,CF,681.0,,,5.343317031860352,5.343317031860352
1003395,Dick Donovan,Dick Donovan,CHW,White Sox,4,P,107.0,234.6666,4.392430305480957,0.9102450013160706,5.302675306797028
1000277,Johnny Antonelli,Johnny Antonelli,NYG,Giants,30,P,97.0,258.3333,5.30463171005249,-0.029881780967116356,5.274749929085374
1007705,Johnny Logan,Johnny Logan,MIL,Braves,16,SS,631.0,,,5.227188587188721,5.227188587188721
1005435,Jack Harshman,Jack Harshman,CHW,White Sox,4,P,87.0,226.6666,4.492652416229248,0.7340867519378662,5.226739168167114
1007200,Harvey Kuenn,Harvey Kuenn,DET,Tigers,6,SS,657.0,,,5.144964694976807,5.144964694976807
1000335,Richie Ashburn,Richie Ashburn,PHI,Phillies,26,CF,719.0,,,5.132760524749756,5.132760524749756
1012299,Warren Spahn,Warren Spahn,MIL,Braves,16,P,111.0,281.3333,4.535184860229492,0.5044680237770081,5.0396528840065
1008471,Gil McDougald,Gil McDougald,NYY,Yankees,9,SS,518.0,,,4.946560382843018,4.946560382843018
1000421,Ed Bailey,Ed Bailey,CIN,Redlegs,18,C,446.0,,,4.929512023925781,4.929512023925781
1006438,Connie Johnson,Connie Johnson,- - -,- - -,0,P,73.0,195.9999,4.410063602030277,0.4330214187502861,4.843085020780563
1000512,Ernie Banks,Ernie Banks,CHC,Cubs,17,SS,593.0,,,4.825143814086914,4.825143814086914
1005184,Harvey Haddix,Harvey Haddix,- - -,- - -,0,P,109.0,230.33319999999998,4.291372358798981,0.4773869067430496,4.76875926554203
1009405,Stan Musial,Stan Musial,STL,Cardinals,28,1B/RF,682.0,,,4.761397361755371,4.761397361755371
1003346,Larry Doby,Larry Doby,CHW,White Sox,4,CF,619.0,,,4.744400501251221,4.744400501251221
1006398,Jackie Jensen,Jackie Jensen,BOS,Red Sox,3,RF,673.0,,,4.732502460479736,4.732502460479736
1009587,Bob Nieman,Bob Nieman,- - -,- - -,0,LF,522.0,,,4.422768622636795,4.422768622636795
1000067,Joe Adcock,Joe Adcock,MIL,Braves,16,1B,500.0,,,4.220668792724609,4.220668792724609
1007749,Stan Lopata,Stan Lopata,PHI,Phillies,26,C/1B,624.0,,,4.214430809020996,4.214430809020996
1007714,Sherm Lollar,Sherm Lollar,CHW,White Sox,4,C,527.0,,,4.2033185958862305,4.2033185958862305
1011070,Jackie Robinson,Jackie Robinson,BRO,Dodgers,22,3B,431.0,,,4.167283535003662,4.167283535003662
