playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1009179,Joe Morgan,Joe Morgan,CIN,Reds,18,2B,599.0,,,9.518269538879395,9.518269538879395
1011586,Mike Schmidt,Mike Schmidt,PHI,Phillies,26,3B,705.0,,,8.309426307678223,8.309426307678223
1009517,Graig Nettles,Graig Nettles,NYY,Yankees,9,3B,656.0,,,8.082283973693848,8.082283973693848
1001094,Vida Blue,Vida Blue,OAK,Athletics,10,P,,298.3333,7.636055946350098,0.0,7.636055946350098
1011217,Pete Rose,Pete Rose,CIN,Reds,18,3B,759.0,,,7.400623798370361,7.400623798370361
1001400,George Brett,George Brett,KCR,Royals,7,3B,705.0,,,6.961242198944092,6.961242198944092
1001098,Bert Blyleven,Bert Blyleven,- - -,- - -,0,P,,297.6666,6.685156345367432,0.0,6.685156345367432
1011708,Tom Seaver,Tom Seaver,NYM,Mets,25,P,100.0,271.0,6.766820907592773,-0.2763427495956421,6.490478157997131
1002108,Ron Cey,Ron Cey,LAD,Dodgers,22,3B,600.0,,,6.3945417404174805,6.3945417404174805
1001942,Rod Carew,Rod Carew,MIN,Twins,8,1B,687.0,,,6.361850738525391,6.361850738525391
1004250,George Foster,George Foster,CIN,Reds,18,CF/LF,627.0,,,6.322928428649902,6.322928428649902
1007948,Garry Maddox,Garry Maddox,PHI,Phillies,26,CF,586.0,,,6.309536933898926,6.309536933898926
1012818,Frank Tanana,Frank Tanana,CAL,Angels,1,P,,288.3333,6.04527473449707,0.0,6.04527473449707
1005033,Bobby Grich,Bobby Grich,BAL,Orioles,2,2B,615.0,,,5.748766899108887,5.748766899108887
1000786,Mark Belanger,Mark Belanger,BAL,Orioles,2,SS,589.0,,,5.643084526062012,5.643084526062012
1011005,Mickey Rivers,Mickey Rivers,NYY,Yankees,9,CF,613.0,,,5.541772365570068,5.541772365570068
1010852,Rick Reuschel,Rick Reuschel,CHC,Cubs,17,P,97.0,260.0,4.838907718658447,0.5993422269821167,5.438249945640564
1001964,Steve Carlton,Steve Carlton,PHI,Phillies,26,P,102.0,252.6666,5.105202674865723,0.3069433867931366,5.412146061658859
1011348,Nolan Ryan,Nolan Ryan,CAL,Angels,1,P,,284.3333,5.342111587524414,0.0,5.342111587524414
1002100,Cesar Cedeno,Cesar Cedeno,HOU,Astros,21,CF,635.0,,,5.3376359939575195,5.3376359939575195
1007103,Jerry Koosman,Jerry Koosman,NYM,Mets,25,P,94.0,247.3333,4.8955817222595215,0.3498660922050476,5.245447814464569
1013890,Roy White,Roy White,NYY,Yankees,9,LF,728.0,,,5.134524822235107,5.134524822235107
1000505,Sal Bando,Sal Bando,OAK,Athletics,10,3B,640.0,,,5.105187892913818,5.105187892913818
1010210,Gaylord Perry,Gaylord Perry,TEX,Rangers,13,P,,250.3333,5.090245246887207,0.0,5.090245246887207
1009065,John Montefusco,John Montefusco,SFG,Giants,30,P,91.0,253.3333,5.190217018127441,-0.3015139698982239,4.8887030482292175
1008246,Jon Matlack,Jon Matlack,NYM,Mets,25,P,104.0,262.0,4.405440330505371,0.4771086573600769,4.882548987865448
1006308,Reggie Jackson,Reggie Jackson,BAL,Orioles,2,RF,558.0,,,4.840631008148193,4.840631008148193
1000826,Johnny Bench,Johnny Bench,CIN,Reds,18,C,552.0,,,4.7822394371032715,4.7822394371032715
1007957,Bill Madlock,Bill Madlock,CHC,Cubs,17,3B,588.0,,,4.780993461608887,4.780993461608887
1004023,Mark Fidrych,Mark Fidrych,DET,Tigers,6,P,,250.3333,4.650467872619629,0.0,4.650467872619629
1014127,Dave Winfield,Dave Winfield,SDP,Padres,29,RF,567.0,,,4.62956428527832,4.62956428527832
1010694,Willie Randolph,Willie Randolph,NYY,Yankees,9,2B,500.0,,,4.625054359436035,4.625054359436035
1014455,Richie Zisk,Richie Zisk,PIT,Pirates,27,LF,641.0,,,4.6241888999938965,4.6241888999938965
1002494,Dave Concepcion,Dave Concepcion,CIN,Reds,18,SS,636.0,,,4.603816032409668,4.603816032409668
1009334,Thurman Munson,Thurman Munson,NYY,Yankees,9,C,665.0,,,4.591204643249512,4.591204643249512
1004557,Steve Garvey,Steve Garvey,LAD,Dodgers,22,1B,696.0,,,4.5782389640808105,4.5782389640808105
1011138,Steve Rogers,Steve Rogers,MON,Expos,24,P,81.0,230.0,4.8222126960754395,-0.25207576155662537,4.570136934518814
1003660,Dennis Eckersley,Dennis Eckersley,CLE,Indians,5,P,,199.3333,4.551453113555908,0.0,4.551453113555908
1008687,Hal McRae,Hal McRae,KCR,Royals,7,DH,609.0,,,4.426720142364502,4.426720142364502
1009583,Phil Niekro,Phil Niekro,ATL,Braves,16,P,105.0,270.6666,4.326970100402832,0.09448554366827011,4.421455644071102
1002841,Jose Cruz,Jose Cruz,HOU,Astros,21,RF/LF,496.0,,,4.282279014587402,4.282279014587402
1006463,Jay Johnstone,Jay Johnstone,PHI,Phillies,26,RF,491.0,,,4.231174945831299,4.231174945831299
1004101,Carlton Fisk,Carlton Fisk,BOS,Red Sox,3,C,557.0,,,4.20961856842041,4.20961856842041
1009973,Jim Palmer,Jim Palmer,BAL,Orioles,2,P,,315.0,4.204874515533447,0.0,4.204874515533447
1012054,Jim Slaton,Jim Slaton,MIL,Brewers,23,P,,292.6666,4.124658584594727,0.0,4.124658584594727
1004051,Rollie Fingers,Rollie Fingers,OAK,Athletics,10,P,,134.6666,4.10714054107666,0.0,4.10714054107666
1005044,Ken Griffey,Ken Griffey,CIN,Reds,18,RF,628.0,,,4.097869396209717,4.097869396209717
1007478,Ron LeFlore,Ron LeFlore,DET,Tigers,6,CF,603.0,,,4.07224178314209,4.07224178314209
1002119,Chris Chambliss,Chris Chambliss,NYY,Yankees,9,1B,675.0,,,4.0554094314575195,4.0554094314575195
1005384,Toby Harrah,Toby Harrah,TEX,Rangers,13,SS,688.0,,,4.006389617919922,4.006389617919922
