playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1008315,Willie Mays,Willie Mays,SFG,Giants,30,CF,706.0,,,10.490659713745117,10.490659713745117
1011066,Frank Robinson,Frank Robinson,CIN,Reds,18,RF,701.0,,,8.24260139465332,8.24260139465332
1000001,Hank Aaron,Hank Aaron,MIL,Braves,16,RF/CF,667.0,,,8.121724128723145,8.121724128723145
1010039,Camilo Pascual,Camilo Pascual,MIN,Twins,8,P,103.0,257.6666,6.79479455947876,0.9310594797134399,7.7258540391922
1003516,Don Drysdale,Don Drysdale,LAD,Dodgers,22,P,126.0,314.3333,6.547156810760498,0.5180187821388245,7.0651755928993225
1004662,Bob Gibson,Bob Gibson,STL,Cardinals,28,P,90.0,233.6666,6.039369106292725,0.7694215178489685,6.808790624141693
1011055,Brooks Robinson,Brooks Robinson,BAL,Orioles,2,3B,697.0,,,6.253757476806641,6.253757476806641
1009724,Billy O'Dell,Billy O'Dell,SFG,Giants,30,P,106.0,280.6666,6.424729824066162,-0.22939422726631165,6.1953355967998505
1002404,Rocky Colavito,Rocky Colavito,DET,Tigers,6,LF,707.0,,,6.04285192489624,6.04285192489624
1008082,Mickey Mantle,Mickey Mantle,NYY,Yankees,9,CF,502.0,,,5.991483688354492,5.991483688354492
1003084,Tommy Davis,Tommy Davis,LAD,Dodgers,22,LF,711.0,,,5.76483678817749,5.76483678817749
1008236,Eddie Mathews,Eddie Mathews,MIL,Braves,16,3B,643.0,,,5.707615852355957,5.707615852355957
1006660,Jim Kaat,Jim Kaat,MIN,Twins,8,P,109.0,269.0,5.408903121948242,0.29352259635925293,5.702425718307495
1001851,Johnny Callison,Johnny Callison,PHI,Phillies,26,RF,672.0,,,5.6002116203308105,5.6002116203308105
1003950,Turk Farrell,Turk Farrell,HOU,Colt .45's,21,P,82.0,241.6666,5.287326335906982,0.16704870760440826,5.454375043511391
1014053,Maury Wills,Maury Wills,LAD,Dodgers,22,SS,759.0,,,5.327538967132568,5.327538967132568
1007124,Sandy Koufax,Sandy Koufax,LAD,Dodgers,22,P,73.0,184.3333,5.6913580894470215,-0.3703174889087677,5.321040600538254
1005684,Ray Herbert,Ray Herbert,CHW,White Sox,4,P,92.0,236.6666,4.773715972900391,0.5183118581771851,5.292027831077576
1001283,Ken Boyer,Ken Boyer,STL,Cardinals,28,3B,691.0,,,5.213940620422363,5.213940620422363
1003088,Willie Davis,Willie Davis,LAD,Dodgers,22,CF,666.0,,,5.209741115570068,5.209741115570068
1011949,Norm Siebern,Norm Siebern,KCA,Athletics,10,1B,719.0,,,5.1512675285339355,5.1512675285339355
1001282,Clete Boyer,Clete Boyer,NYY,Yankees,9,3B,633.0,,,5.139690399169922,5.139690399169922
1001653,Jim Bunning,Jim Bunning,DET,Tigers,6,P,102.0,258.0,4.581659317016602,0.4981098771095276,5.079769194126129
1011165,John Romano,Johnny Romano,CLE,Indians,5,C,548.0,,,4.925814628601074,4.925814628601074
1003395,Dick Donovan,Dick Donovan,CLE,Indians,5,P,100.0,250.6666,4.192461967468262,0.6053394675254822,4.797801434993744
1009048,Bill Monbouquette,Bill Monbouquette,BOS,Red Sox,3,P,88.0,235.3333,5.19663143157959,-0.4121570885181427,4.784474343061447
1000177,Felipe Alou,Felipe Alou,SFG,Giants,30,RF,606.0,,,4.772787570953369,4.772787570953369
1004227,Whitey Ford,Whitey Ford,NYY,Yankees,9,P,99.0,257.6666,4.885735034942627,-0.12435325980186462,4.761381775140762
1014326,Carl Yastrzemski,Carl Yastrzemski,BOS,Red Sox,3,LF,719.0,,,4.759294033050537,4.759294033050537
1006678,Al Kaline,Al Kaline,DET,Tigers,6,RF,452.0,,,4.721475124359131,4.721475124359131
1001397,Eddie Bressoud,Eddie Bressoud,BOS,Red Sox,3,SS,657.0,,,4.548559665679932,4.548559665679932
1010406,Johnny Podres,Johnny Podres,LAD,Dodgers,22,P,96.0,255.0,4.459996700286865,0.06809882819652557,4.528095528483391
