playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1014369,Cy Young,Cy Young,CLE,Spiders,1026,P,186.0,414.3333,8.333136558532715,0.6614803671836853,8.9946169257164
1006396,Hughie Jennings,Hughie Jennings,BAL,Orioles,1006,SS,602.0,,,8.7891263961792,8.7891263961792
1006776,Joe Kelley,Joe Kelley,BAL,Orioles,1006,LF,627.0,,,7.755685806274414,7.755685806274414
1003155,Ed Delahanty,Ed Delahanty,PHI,Phillies,26,LF,574.0,,,7.718023777008057,7.718023777008057
1002924,Bill Dahlen,Bill Dahlen,CHI,Colts,17,SS,573.0,,,7.411805152893066,7.411805152893066
1002186,Cupid Childs,Cupid Childs,CLE,Spiders,1026,2B,615.0,,,6.650343418121338,6.650343418121338
1006904,Frank Killen,Frank Killen,PIT,Pirates,27,P,204.0,432.3333,5.649068355560303,0.8240699172019958,6.473138272762299
1006633,Bill Joyce,Bill Joyce,- - -,- - -,0,2B/3B,600.0,,,6.2914206981658936,6.2914206981658936
1005038,Clark Griffith,Clark Griffith,CHI,Colts,17,P,146.0,317.6666,5.845545291900635,0.3377205729484558,6.183265864849091
1002884,Nig Cuppy,Nig Cuppy,CLE,Spiders,1026,P,166.0,358.0,5.888932228088379,0.2474365234375,6.136368751525879
1005270,Billy Hamilton,Billy Hamilton,BSN,Beaneaters,16,CF,641.0,,,6.027076721191406,6.027076721191406
1012134,Elmer Smith,Elmer Smith,PIT,Pirates,27,LF,572.0,,,5.980362892150879,5.980362892150879
1005899,Bill Hoffer,Bill Hoffer,BAL,Orioles,1006,P,143.0,309.0,4.697526454925537,1.1189892292022705,5.816515684127808
1001682,Jesse Burkett,Jesse Burkett,CLE,Spiders,1026,LF,647.0,,,5.743838787078857,5.743838787078857
1006747,Willie Keeler,Willie Keeler,BAL,Orioles,1006,RF,601.0,,,5.701742172241211,5.701742172241211
1013062,Mike Tiernan,Mike Tiernan,NYG,Giants,30,RF,605.0,,,5.678451061248779,5.678451061248779
1003607,Frank Dwyer,Frank Dwyer,CIN,Reds,18,P,125.0,288.6666,4.4066643714904785,0.48118075728416443,4.887845128774643
1003049,George Davis,George Davis,NYG,Giants,30,3B/SS,554.0,,,4.712250232696533,4.712250232696533
1007315,Bill Lange,Bill Lange,CHI,Colts,17,CF,545.0,,,4.709527492523193,4.709527492523193
1005517,Pink Hawley,Pink Hawley,PIT,Pirates,27,P,170.0,378.0,4.2400898933410645,0.1477579027414322,4.387847796082497
1013357,George Van Haltren,George Van Haltren,NYG,Giants,30,CF,623.0,8.0,-0.03543085977435112,4.365180015563965,4.329749155789614
1008724,Jouett Meekin,Jouett Meekin,NYG,Giants,30,P,156.0,334.3333,3.244544506072998,1.0713520050048828,4.315896511077881
1009564,Kid Nichols,Kid Nichols,BSN,Beaneaters,16,P,169.0,372.3333,5.11584997177124,-0.8412643671035767,4.274585604667664
1012547,Jack Stivetts,Jack Stivetts,BSN,Beaneaters,16,P,238.0,329.0,3.208571195602417,0.9956324696540833,4.2042036652565
1008778,Win Mercer,Win Mercer,WAS,Senators,1082,P,171.0,366.3333,4.510347366333008,-0.31817856431007385,4.192168802022934
1002273,Dad Clarke,Dad Clarke,NYG,Giants,30,P,161.0,351.0,4.350261688232422,-0.3273755609989166,4.022886127233505
1007731,Herman Long,Herman Long,BSN,Beaneaters,16,SS,544.0,,,4.006549835205078,4.006549835205078
1003708,Red Ehret,Red Ehret,CIN,Reds,18,P,117.0,276.6666,4.202122688293457,-0.22383925318717957,3.9782834351062775
1012485,Jake Stenzel,Jake Stenzel,PIT,Pirates,27,CF,525.0,,,3.748875379562378,3.748875379562378
1008431,Tom McCreery,Tom McCreery,LOU,Colonels,1044,RF,493.0,1.0,-0.20340514183044434,3.948666572570801,3.7452614307403564
1008675,Bid McPhee,Bid McPhee,CIN,Reds,18,2B,502.0,,,3.6390469074249268,3.6390469074249268
1008581,Ed McKean,Ed McKean,CLE,Spiders,1026,SS,630.0,,,3.5989959239959717,3.5989959239959717
1001383,Ted Breitenstein,Ted Breitenstein,STL,Browns,28,P,182.0,339.6666,3.5678582191467285,-0.17177720367908478,3.3960810154676437
1010430,Arlie Pond,Arlie Pond,BAL,Orioles,1006,P,94.0,214.3333,3.3625950813293457,0.027226164937019348,3.389821246266365
1003198,Gene DeMontreville,Gene DeMontreville,WAS,Senators,1082,SS,581.0,,,3.3551061153411865,3.3551061153411865
1011731,Kip Selbach,Kip Selbach,WAS,Senators,1082,LF,578.0,,,3.3393304347991943,3.3393304347991943
1005047,Mike Griffin,Mike Griffin,BRO,Bridegrooms,22,CF,556.0,,,3.2892231941223145,3.2892231941223145
1002280,Fred Clarke,Fred Clarke,LOU,Colonels,1044,LF,581.0,,,3.282954216003418,3.282954216003418
1006111,Dummy Hoy,Dummy Hoy,CIN,Reds,18,CF,554.0,,,3.1960442066192627,3.1960442066192627
1001678,Eddie Burke,Eddie Burke,CIN,Reds,18,LF,575.0,,,3.160648822784424,3.160648822784424
1012926,Adonis Terry,Adonis Terry,CHI,Colts,17,P,111.0,235.6666,3.127922296524048,-0.001770565751940012,3.126151730772108
1003461,Jack Doyle,Jack Doyle,BAL,Orioles,1006,1B,546.0,,,3.1185622215270996,3.1185622215270996
1006555,Fielder Jones,Fielder Jones,BRO,Bridegrooms,22,RF,451.0,,,2.8952887058258057,2.8952887058258057
1014114,Zeke Wilson,Zeke Wilson,CLE,Spiders,1026,P,108.0,240.0,2.659832000732422,0.18784789741039276,2.8476798981428146
1003385,Jim Donnelly,Jim Donnelly,BAL,Orioles,1006,3B,454.0,,,2.836411237716675,2.836411237716675
1008887,Dusty Miller,Dusty Miller,CIN,Reds,18,RF,559.0,,,2.772091865539551,2.772091865539551
1008576,James McJames,Doc McJames,WAS,Senators,1082,P,117.0,280.3333,3.390141725540161,-0.8579674363136292,2.532174289226532
1007880,Denny Lyons,Denny Lyons,PIT,Pirates,27,3B,519.0,,,2.5069081783294678,2.5069081783294678
1003399,Patsy Donovan,Patsy Donovan,PIT,Pirates,27,RF,624.0,,,2.4553680419921875,2.4553680419921875
1007786,Bobby Lowe,Bobby Lowe,BSN,Beaneaters,16,2B,335.0,,,2.3759899139404297,2.3759899139404297
1004229,Frank Foreman,Frank Foreman,CIN,Reds,18,P,83.0,185.6666,2.4393980503082275,-0.06945466250181198,2.3699433878064156
1002537,Roger Connor,Roger Connor,STL,Browns,28,1B,537.0,,,2.3369407653808594,2.3369407653808594
1003003,Dan Daub,Dan Daub,BRO,Bridegrooms,22,P,95.0,225.0,2.135713577270508,0.19561320543289185,2.3313267827033997
1012143,Germany Smith,Germany Smith,CIN,Reds,18,SS,492.0,,,2.295586585998535,2.295586585998535
1006943,Silver King,Silver King,WAS,Senators,1082,P,69.0,145.3333,1.8594990968704224,0.37345123291015625,2.2329503297805786
1004770,Kid Gleason,Kid Gleason,NYG,Giants,30,2B,595.0,,,2.206779718399048,2.206779718399048
1002622,Tommy Corcoran,Tommy Corcoran,BRO,Bridegrooms,22,SS,560.0,,,2.1227574348449707,2.1227574348449707
1013024,Sam Thompson,Sam Thompson,PHI,Phillies,26,RF,554.0,,,2.1120753288269043,2.1120753288269043
1002338,Jack Clements,Jack Clements,PHI,Phillies,26,C,212.0,,,2.0961692333221436,2.0961692333221436
1000272,Cap Anson,Cap Anson,CHI,Colts,17,1B,459.0,,,2.092223644256592,2.092223644256592
1002455,Jimmy Collins,Jimmy Collins,BSN,Beaneaters,16,3B,350.0,,,2.0836644172668457,2.0836644172668457
1008553,Deacon McGuire,Deacon McGuire,WAS,Senators,1082,C,431.0,,,2.0788862705230713,2.0788862705230713
1004356,Danny Friend,Danny Friend,CHI,Colts,17,P,133.0,290.6666,2.524939775466919,-0.48519188165664673,2.039747893810272
1003373,Red Donahue,Red Donahue,STL,Browns,28,P,114.0,267.0,3.146106004714966,-1.1162455081939697,2.029860496520996
1010094,Harley Payne,Harley Payne,BRO,Bridegrooms,22,P,111.0,241.6666,2.336139678955078,-0.30734875798225403,2.028790920972824
1000232,John Anderson,John Anderson,BRO,Bridegrooms,22,1B/LF,451.0,,,1.9985382556915283,1.9985382556915283
1001461,Steve Brodie,Steve Brodie,BAL,Orioles,1006,CF,573.0,,,1.9483968019485474,1.9483968019485474
1012878,Jack Taylor,Jack Taylor,PHI,Phillies,26,P,174.0,359.0,3.093944787979126,-1.1732326745986938,1.9207121133804321
1003533,Hugh Duffy,Hugh Duffy,BSN,Beaneaters,16,LF,601.0,,,1.9191313982009888,1.9191313982009888
1004917,Mike Grady,Mike Grady,PHI,Phillies,26,C,267.0,,,1.8620922565460205,1.8620922565460205
1003761,Bones Ely,Bones Ely,PIT,Pirates,27,SS,598.0,,,1.86006760597229,1.86006760597229
1001486,Dan Brouthers,Dan Brouthers,PHI,Phillies,26,1B,267.0,,,1.8503944873809814,1.8503944873809814
1012695,Jim Sullivan,Jim Sullivan,BSN,Beaneaters,16,P,93.0,225.3333,2.1034512519836426,-0.2567824423313141,1.8466688096523285
1010880,Billy Rhines,Billy Rhines,CIN,Reds,18,P,56.0,143.0,2.085034132003784,-0.24737857282161713,1.837655559182167
