playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1008315,Willie Mays,Willie Mays,SFG,Giants,30,CF,638.0,,,10.722835540771484,10.722835540771484
1007124,Sandy Koufax,Sandy Koufax,LAD,Dodgers,22,P,127.0,335.6666,9.984525680541992,0.5299072861671448,10.514432966709137
1008476,Sam McDowell,Sam McDowell,CLE,Indians,5,P,101.0,273.0,8.700642585754395,-0.3844646215438843,8.31617796421051
1011447,Ron Santo,Ron Santo,CHC,Cubs,17,3B,704.0,,,7.6874871253967285,7.6874871253967285
1001653,Jim Bunning,Jim Bunning,PHI,Phillies,26,P,108.0,291.0,7.261569976806641,0.40054962038993835,7.662119597196579
1000001,Hank Aaron,Hank Aaron,MIL,Braves,16,RF,639.0,,,7.594003677368164,7.594003677368164
1013391,Bob Veale,Bob Veale,PIT,Pirates,27,P,104.0,266.0,7.989520072937012,-0.6207173466682434,7.368802726268768
1008039,Jim Maloney,Jim Maloney,CIN,Reds,18,P,106.0,255.3333,6.459108829498291,0.8579443097114563,7.317053139209747
1013975,Billy Williams,Billy Williams,CHC,Cubs,17,RF,719.0,,,7.085099220275879,7.085099220275879
1013417,Zoilo Versalles,Zoilo Versalles,MIN,Twins,8,SS,728.0,,,6.981675148010254,6.981675148010254
1008106,Juan Marichal,Juan Marichal,SFG,Giants,30,P,109.0,295.3333,6.826473236083984,0.02763441950082779,6.854107655584812
1014313,Jimmy Wynn,Jimmy Wynn,HOU,Astros,21,CF,663.0,,,6.427027225494385,6.427027225494385
1001636,Don Buford,Don Buford,CHW,White Sox,4,2B,668.0,,,6.3729567527771,6.3729567527771
1000137,Dick Allen,Dick Allen,PHI,Phillies,26,3B,707.0,,,6.290056228637695,6.290056228637695
1004662,Bob Gibson,Bob Gibson,STL,Cardinals,28,P,119.0,299.0,5.0813822746276855,1.1548504829406738,6.236232757568359
1011931,Chris Short,Chris Short,PHI,Phillies,26,P,108.0,297.3333,6.47990608215332,-0.3960624933242798,6.0838435888290405
1002340,Roberto Clemente,Roberto Clemente,PIT,Pirates,27,RF,642.0,,,5.957856178283691,5.957856178283691
1003516,Don Drysdale,Don Drysdale,LAD,Dodgers,22,P,138.0,308.3333,3.394679069519043,2.4627795219421387,5.857458591461182
1008423,Willie McCovey,Willie McCovey,SFG,Giants,30,1B,639.0,,,5.732944965362549,5.732944965362549
1004330,Jim Fregosi,Jim Fregosi,CAL,Angels,1,SS,683.0,,,5.3871917724609375,5.3871917724609375
1010360,Vada Pinson,Vada Pinson,CIN,Reds,18,CF,728.0,,,5.271215915679932,5.271215915679932
1011055,Brooks Robinson,Brooks Robinson,BAL,Orioles,2,3B,616.0,,,5.242496967315674,5.242496967315674
1013133,Joe Torre,Joe Torre,MIL,Braves,16,C/1B,594.0,,,5.22831916809082,5.22831916809082
1002043,Norm Cash,Norm Cash,DET,Tigers,6,1B,553.0,,,5.198497295379639,5.198497295379639
1011217,Pete Rose,Pete Rose,CIN,Reds,18,2B,757.0,,,5.188117980957031,5.188117980957031
1011066,Frank Robinson,Frank Robinson,CIN,Reds,18,RF,674.0,,,5.1803669929504395,5.1803669929504395
