playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1008315,Willie Mays,Willie Mays,SFG,Giants,30,CF,665.0,,,10.451441764831543,10.451441764831543
1011447,Ron Santo,Ron Santo,CHC,Cubs,17,3B,686.0,,,8.656176567077637,8.656176567077637
1000137,Dick Allen,Dick Allen,PHI,Phillies,26,3B,708.0,,,8.220610618591309,8.220610618591309
1011055,Brooks Robinson,Brooks Robinson,BAL,Orioles,2,3B,685.0,,,8.105199813842773,8.105199813842773
1005329,Ron Hansen,Ron Hansen,CHW,White Sox,4,SS,665.0,,,7.245045185089111,7.245045185089111
1003516,Don Drysdale,Don Drysdale,LAD,Dodgers,22,P,128.0,321.3333,6.85996150970459,0.38364049792289734,7.243602007627487
1011066,Frank Robinson,Frank Robinson,CIN,Reds,18,RF/LF,662.0,,,7.102771759033203,7.102771759033203
1004330,Jim Fregosi,Jim Fregosi,LAA,Angels,1,SS,591.0,,,7.0396552085876465,7.0396552085876465
1004227,Whitey Ford,Whitey Ford,NYY,Yankees,9,P,85.0,244.6666,6.797986030578613,0.12603868544101715,6.92402471601963
1002130,Dean Chance,Dean Chance,LAA,Angels,1,P,100.0,278.3333,7.5634660720825195,-0.6923995018005371,6.871066570281982
1000001,Hank Aaron,Hank Aaron,MIL,Braves,16,RF,634.0,,,6.750208377838135,6.750208377838135
1003088,Willie Davis,Willie Davis,LAD,Dodgers,22,CF,652.0,,,6.657191276550293,6.657191276550293
1013391,Bob Veale,Bob Veale,PIT,Pirates,27,P,104.0,279.6666,6.484047889709473,-0.12579359114170074,6.358254298567772
1000166,Bob Allison,Bob Allison,MIN,Twins,8,1B,594.0,,,6.242684364318848,6.242684364318848
1009772,Tony Oliva,Tony Oliva,MIN,Twins,8,RF,718.0,,,6.2136006355285645,6.2136006355285645
1008106,Juan Marichal,Juan Marichal,SFG,Giants,30,P,107.0,269.0,6.38043737411499,-0.18935029208660126,6.191087082028389
1013621,Pete Ward,Pete Ward,CHW,White Sox,4,3B,607.0,,,6.134921073913574,6.134921073913574
1002340,Roberto Clemente,Roberto Clemente,PIT,Pirates,27,RF,683.0,,,6.068526744842529,6.068526744842529
1008766,Denis Menke,Denis Menke,MIL,Braves,16,SS,588.0,,,6.060919284820557,6.060919284820557
1006079,Elston Howard,Elston Howard,NYY,Yankees,9,C,607.0,,,5.9881272315979,5.9881272315979
1010482,Boog Powell,Boog Powell,BAL,Orioles,2,LF,506.0,,,5.9776611328125,5.9776611328125
1001283,Ken Boyer,Ken Boyer,STL,Cardinals,28,3B,704.0,,,5.960817813873291,5.960817813873291
1006304,Larry Jackson,Larry Jackson,CHC,Cubs,17,P,120.0,297.6666,5.925319194793701,-0.046427302062511444,5.87889189273119
1004662,Bob Gibson,Bob Gibson,STL,Cardinals,28,P,107.0,287.3333,5.842152118682861,0.019573481753468513,5.86172560043633
1007124,Sandy Koufax,Sandy Koufax,LAD,Dodgers,22,P,81.0,223.0,6.097883224487305,-0.2654796838760376,5.832403540611267
1013133,Joe Torre,Joe Torre,MIL,Braves,16,C/1B,646.0,,,5.829294204711914,5.829294204711914
1009897,Jim O'Toole,Jim O'Toole,CIN,Reds,18,P,83.0,220.0,5.857803821563721,-0.17556540668010712,5.682238414883614
1001851,Johnny Callison,Johnny Callison,PHI,Phillies,26,RF,705.0,,,5.589267253875732,5.589267253875732
1008082,Mickey Mantle,Mickey Mantle,NYY,Yankees,9,CF,567.0,,,5.545578956604004,5.545578956604004
1011931,Chris Short,Chris Short,PHI,Phillies,26,P,75.0,220.6666,5.6011199951171875,-0.3036978542804718,5.297422140836716
1006660,Jim Kaat,Jim Kaat,MIN,Twins,8,P,98.0,243.0,4.683235168457031,0.5844712257385254,5.267706394195557
1010228,Gary Peters,Gary Peters,CHW,White Sox,4,P,126.0,273.6666,4.271504878997803,0.9380385875701904,5.209543466567993
1001573,Bob Bruce,Bob Bruce,HOU,Colt .45's,21,P,72.0,202.3333,4.893271446228027,0.2955739498138428,5.18884539604187
1001653,Jim Bunning,Jim Bunning,PHI,Phillies,26,P,109.0,284.3333,5.617939472198486,-0.4388730525970459,5.17906641960144
1005448,Jim Ray Hart,Jim Ray Hart,SFG,Giants,30,3B,625.0,,,5.152451992034912,5.152451992034912
1006678,Al Kaline,Al Kaline,DET,Tigers,6,RF,608.0,,,5.101812362670898,5.101812362670898
1004315,Bill Freehan,Bill Freehan,DET,Tigers,6,C,572.0,,,5.098282337188721,5.098282337188721
1002025,Rico Carty,Rico Carty,MIL,Braves,16,LF,505.0,,,4.963761806488037,4.963761806488037
1008039,Jim Maloney,Jim Maloney,CIN,Reds,18,P,79.0,216.0,4.855634689331055,0.09237311780452728,4.948007807135582
1013975,Billy Williams,Billy Williams,CHC,Cubs,17,LF,709.0,,,4.934422969818115,4.934422969818115
1001397,Eddie Bressoud,Eddie Bressoud,BOS,Red Sox,3,SS,644.0,,,4.827401161193848,4.827401161193848
1006905,Harmon Killebrew,Harmon Killebrew,MIN,Twins,8,LF,682.0,,,4.813018321990967,4.813018321990967
1013855,Bill White,Bill White,STL,Cardinals,28,1B,693.0,,,4.73202657699585,4.73202657699585
1001458,Lou Brock,Lou Brock,- - -,- - -,0,RF/LF,695.0,,,4.6251418218016624,4.6251418218016624
1002103,Orlando Cepeda,Orlando Cepeda,SFG,Giants,30,1B,587.0,,,4.582126140594482,4.582126140594482
1009989,Milt Pappas,Milt Pappas,BAL,Orioles,2,P,100.0,251.6666,4.790419101715088,-0.22711428999900818,4.56330481171608
1010039,Camilo Pascual,Camilo Pascual,MIN,Twins,8,P,106.0,267.3333,4.129333019256592,0.4078744053840637,4.5372074246406555
1009878,Claude Osteen,Claude Osteen,WAS,Senators,13,P,103.0,257.0,4.440486431121826,0.09044021368026733,4.5309266448020935
1014326,Carl Yastrzemski,Carl Yastrzemski,BOS,Red Sox,3,CF,646.0,,,4.479283809661865,4.479283809661865
1007712,Mickey Lolich,Mickey Lolich,DET,Tigers,6,P,86.0,232.0,4.364130973815918,0.0963750034570694,4.460505977272987
1006025,Joe Horlen,Joe Horlen,CHW,White Sox,4,P,79.0,210.6666,4.533350944519043,-0.0995444655418396,4.433806478977203
1000278,Luis Aparicio,Luis Aparicio,BAL,Orioles,2,SS,642.0,,,4.394254684448242,4.394254684448242
1010382,Juan Pizarro,Juan Pizarro,CHW,White Sox,4,P,94.0,239.0,3.8844921588897705,0.5058600306510925,4.390352189540863
1004355,Bob Friend,Bob Friend,PIT,Pirates,27,P,85.0,240.3333,4.911410331726074,-0.5471122860908508,4.364298045635223
1005253,Jimmie Hall,Jimmie Hall,MIN,Twins,8,CF,562.0,,,4.32349967956543,4.32349967956543
1003450,Al Downing,Al Downing,NYY,Yankees,9,P,93.0,244.0,4.153536319732666,0.1387142539024353,4.292250573635101
1008110,Roger Maris,Roger Maris,NYY,Yankees,9,RF,584.0,,,4.269711494445801,4.269711494445801
1008236,Eddie Mathews,Eddie Mathews,MIL,Braves,16,3B,590.0,,,4.235663414001465,4.235663414001465
1008331,Dick McAuliffe,Dick McAuliffe,DET,Tigers,6,SS,645.0,,,4.163130760192871,4.163130760192871
1004165,Curt Flood,Curt Flood,STL,Cardinals,28,CF,739.0,,,3.928889751434326,3.928889751434326
1002404,Rocky Colavito,Rocky Colavito,KCA,Athletics,10,RF,681.0,,,3.9022293090820312,3.9022293090820312
1011360,Ray Sadecki,Ray Sadecki,STL,Cardinals,28,P,87.0,220.0,3.6839041709899902,0.19660945236682892,3.880513623356819
1011199,John Roseboro,Johnny Roseboro,LAD,Dodgers,22,C,475.0,,,3.7862308025360107,3.7862308025360107
1002091,Wayne Causey,Wayne Causey,KCA,Athletics,10,SS,705.0,,,3.7525761127471924,3.7525761127471924
