playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1109,Barry Bonds,Barry Bonds,PIT,Pirates,27,LF,612.0,,,9.557635307312012,9.557635307312012
815,Roger Clemens,Roger Clemens,BOS,Red Sox,3,P,,246.6666,7.575290679931641,0.0,7.575290679931641
1011411,Ryne Sandberg,Ryne Sandberg,CHC,Cubs,17,2B,687.0,,,7.39079475402832,7.39079475402832
104,Greg Maddux,Greg Maddux,CHC,Cubs,17,P,102.0,268.0,6.972506523132324,0.25474298000335693,7.227249503135681
1003010,Darren Daulton,Darren Daulton,PHI,Phillies,26,C,585.0,,,7.180395126342773,7.180395126342773
255,Frank Thomas,Frank Thomas,CHW,White Sox,4,1B,711.0,,,7.068061828613281,7.068061828613281
397,Charles Nagy,Charles Nagy,CLE,Indians,5,P,,252.0,6.975656032562256,0.0,6.975656032562256
1013363,Andy Van Slyke,Andy Van Slyke,PIT,Pirates,27,CF,685.0,,,6.51244592666626,6.51244592666626
114,Gary Sheffield,Gary Sheffield,SDP,Padres,29,3B,618.0,,,6.505338191986084,6.505338191986084
1008559,Mark McGwire,Mark McGwire,OAK,Athletics,10,1B,571.0,,,6.342520236968994,6.342520236968994
642,Kevin Brown,Kevin Brown,TEX,Rangers,13,P,,265.6666,6.320103645324707,0.0,6.320103645324707
860,Roberto Alomar,Roberto Alomar,TOR,Blue Jays,14,2B,671.0,,,6.143127918243408,6.143127918243408
854,Robin Ventura,Robin Ventura,CHW,White Sox,4,3B,694.0,,,6.092935085296631,6.092935085296631
1086,Edgar Martinez,Edgar Martinez,SEA,Mariners,11,3B,592.0,,,6.014493465423584,6.014493465423584
1010557,Kirby Puckett,Kirby Puckett,MIN,Twins,8,CF,696.0,,,5.940927982330322,5.940927982330322
1013862,Devon White,Devon White,TOR,Blue Jays,14,CF,696.0,,,5.8986496925354,5.8986496925354
1010183,Melido Perez,Melido Perez,NYY,Yankees,9,P,,247.6666,5.880381107330322,0.0,5.880381107330322
246,Kenny Lofton,Kenny Lofton,CLE,Indians,5,CF,651.0,,,5.782924175262451,5.782924175262451
1391,Dave Hollins,Dave Hollins,PHI,Phillies,26,3B,685.0,,,5.741703987121582,5.741703987121582
194,Rickey Henderson,Rickey Henderson,OAK,Athletics,10,LF,500.0,,,5.563857078552246,5.563857078552246
1406,Tim Raines,Tim Raines,CHW,White Sox,4,LF,644.0,,,5.540399551391602,5.540399551391602
175,Carlos Baerga,Carlos Baerga,CLE,Indians,5,2B,716.0,,,5.503403186798096,5.503403186798096
293,Fred McGriff,Fred McGriff,SDP,Padres,29,1B,632.0,,,5.495131969451904,5.495131969451904
1005162,Juan Guzman,Juan Guzman,TOR,Blue Jays,14,P,,180.6666,5.475878715515137,0.0,5.475878715515137
