playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1003311,Joe DiMaggio,Joe DiMaggio,NYY,Yankees,9,CF,692.0,,,9.03471565246582,9.03471565246582
1004598,Lou Gehrig,Lou Gehrig,NYY,Yankees,9,1B,700.0,,,8.412727355957031,8.412727355957031
1008719,Joe Medwick,Joe Medwick,STL,Cardinals,28,LF,677.0,,,8.232681274414062,8.232681274414062
1004996,Hank Greenberg,Hank Greenberg,DET,Tigers,6,1B,701.0,,,8.175638198852539,8.175638198852539
1004596,Charlie Gehringer,Charlie Gehringer,DET,Tigers,6,2B,660.0,,,7.385518550872803,7.385518550872803
1003271,Bill Dickey,Bill Dickey,NYY,Yankees,9,C,608.0,,,6.698635101318359,6.698635101318359
1009904,Mel Ott,Mel Ott,NYG,Giants,30,3B/RF,654.0,,,6.671517372131348,6.671517372131348
1005099,Lefty Grove,Lefty Grove,BOS,Red Sox,3,P,109.0,262.0,6.941372394561768,-0.2881499230861664,6.653222471475601
1000621,Dick Bartell,Dick Bartell,NYG,Giants,30,SS,580.0,,,6.571952819824219,6.571952819824219
1002352,Harlond Clift,Harlond Clift,SLB,Browns,2,3B,679.0,,,6.568044185638428,6.568044185638428
1004821,Lefty Gomez,Lefty Gomez,NYY,Yankees,9,P,115.0,278.3333,6.611655235290527,-0.06185051053762436,6.549804724752903
1009014,Johnny Mize,Johnny Mize,STL,Cardinals,28,1B,621.0,,,6.350442886352539,6.350442886352539
1001860,Dolph Camilli,Dolph Camilli,PHI,Phillies,26,1B,570.0,,,5.992393493652344,5.992393493652344
1000284,Luke Appling,Luke Appling,CHW,White Sox,4,SS,665.0,,,5.951423645019531,5.951423645019531
1010046,Claude Passeau,Claude Passeau,PHI,Phillies,26,P,111.0,292.3333,5.733909606933594,-0.08552766591310501,5.648381941020489
1005692,Billy Herman,Billy Herman,CHC,Cubs,17,2B,632.0,,,5.633945941925049,5.633945941925049
1006428,Bob Johnson,Bob Johnson,PHA,Athletics,10,LF,576.0,,,5.341434001922607,5.341434001922607
1009110,Gene Moore,Gene Moore,BSN,Bees,16,RF,631.0,,,5.226301193237305,5.226301193237305
1003106,Dizzy Dean,Dizzy Dean,STL,Cardinals,28,P,78.0,197.3333,4.7174072265625,0.23017819225788116,4.947585418820381
1013377,Arky Vaughan,Arky Vaughan,PIT,Pirates,27,SS,531.0,,,4.869248390197754,4.869248390197754
1014490,Newt Allen,Newt Allen,- - -,- - -,0,2B,244.0,0.6666,0.0038321190513670444,4.771203815937042,4.775035934988409
1001421,Tommy Bridges,Tommy Bridges,DET,Tigers,6,P,104.0,245.3333,4.553528785705566,0.2009907066822052,4.754519492387772
1013162,Cecil Travis,Cecil Travis,WAS,Senators,8,SS,578.0,,,4.738210678100586,4.738210678100586
1011296,Red Ruffing,Red Ruffing,NYY,Yankees,9,P,144.0,256.3333,4.408036708831787,0.2951888144016266,4.703225523233414
1005458,Gabby Hartnett,Gabby Hartnett,CHC,Cubs,17,C,405.0,,,4.668792724609375,4.668792724609375
1013597,Paul Waner,Paul Waner,PIT,Pirates,27,RF,690.0,,,4.553882598876953,4.553882598876953
1006123,Carl Hubbell,Carl Hubbell,NYG,Giants,30,P,100.0,261.6666,4.396084308624268,0.035217590630054474,4.431301899254322
1012568,John Stone,John Stone,WAS,Senators,8,RF/LF,609.0,,,4.427853107452393,4.427853107452393
1003190,Frank Demaree,Frank Demaree,CHC,Cubs,17,RF,687.0,,,4.4154534339904785,4.4154534339904785
1009244,Wally Moses,Wally Moses,PHA,Athletics,10,RF,712.0,,,4.4139838218688965,4.4139838218688965
1002848,Tony Cuccinello,Tony Cuccinello,BSN,Bees,16,2B,647.0,,,4.384457111358643,4.384457111358643
1009321,Van Mungo,Van Mungo,BRO,Dodgers,22,P,67.0,161.0,3.900916814804077,0.2847668528556824,4.1856836676597595
1015243,Josh Gibson,Josh Gibson,HG,Grays,1137,C,182.0,,,4.184048652648926,4.184048652648926
1008755,Cliff Melton,Cliff Melton,NYG,Giants,30,P,93.0,248.0,4.752752780914307,-0.6494480967521667,4.10330468416214
1004285,Jimmie Foxx,Jimmie Foxx,BOS,Red Sox,3,1B,673.0,,,4.066009044647217,4.066009044647217
1001569,Willard Brown,Willard Brown,KCM,Monarchs,1124,SS/LF,234.0,,,4.046642303466797,4.046642303466797
1001176,Zeke Bonura,Zeke Bonura,CHW,White Sox,4,1B,502.0,,,3.9857473373413086,3.9857473373413086
1001055,Cy Blanton,Cy Blanton,PIT,Pirates,27,P,98.0,242.6666,3.894664764404297,-0.04130597040057182,3.853358794003725
1012602,Monty Stratton,Monty Stratton,CHW,White Sox,4,P,65.0,164.6666,3.95754075050354,-0.10540315508842468,3.8521375954151154
1005280,Luke Hamlin,Luke Hamlin,BRO,Dodgers,22,P,68.0,185.6666,3.8545336723327637,-0.03377785161137581,3.820755820721388
1000366,Elden Auker,Elden Auker,DET,Tigers,6,P,105.0,252.6666,3.341087579727173,0.43918004631996155,3.7802676260471344
1005339,Mel Harder,Mel Harder,CLE,Indians,5,P,98.0,233.6666,3.9196488857269287,-0.1770840734243393,3.7425648123025894
1004010,Wes Ferrell,Wes Ferrell,- - -,- - -,0,P,158.0,280.99989999999997,2.463001810014248,1.2541916966438293,3.7171935066580772
1007447,Bill Lee,Bill Lee,CHC,Cubs,17,P,102.0,272.3333,3.797003746032715,-0.11526501178741455,3.6817387342453003
