playerid,playerName,playerNameRoute,abbName,shortName,teamId,pos,PA,IP,pitWAR,batWAR,totalWAR
1012546,Snuffy Stirnweiss,Snuffy Stirnweiss,NYY,Yankees,9,2B,717.0,,,8.818413734436035,8.818413734436035
1009535,Hal Newhouser,Hal Newhouser,DET,Tigers,6,P,124.0,313.3333,8.03781509399414,0.637231171131134,8.675046265125275
1005980,Tommy Holmes,Tommy Holmes,BSN,Braves,16,RF,713.0,,,8.626093864440918,8.626093864440918
1005183,Stan Hack,Stan Hack,CHC,Cubs,17,3B,702.0,,,6.514534950256348,6.514534950256348
1007260,Eddie Lake,Eddie Lake,BOS,Red Sox,3,SS,586.0,,,6.511997699737549,6.511997699737549
1002093,Phil Cavarretta,Phil Cavarretta,CHC,Cubs,17,1B,586.0,,,6.3281121253967285,6.3281121253967285
1011122,Preacher Roe,Preacher Roe,PIT,Pirates,27,P,89.0,235.0,6.456648349761963,-0.5812974572181702,5.875350892543793
1010471,Nels Potter,Nels Potter,SLB,Browns,2,P,99.0,255.3333,5.173682689666748,0.6213879585266113,5.795070648193359
1004440,Augie Galan,Augie Galan,BRO,Dodgers,22,1B/3B/LF,696.0,,,5.779743194580078,5.779743194580078
1002861,Roy Cullenbine,Roy Cullenbine,- - -,- - -,0,RF,657.0,,,5.6788967698812485,5.6788967698812485
1004012,Dave Ferriss,Dave Ferriss,BOS,Red Sox,3,P,140.0,264.6666,4.290134429931641,1.388364553451538,5.678498983383179
1012501,Vern Stephens,Vern Stephens,SLB,Browns,2,SS,632.0,,,5.485964775085449,5.485964775085449
1012406,Eddie Stanky,Eddie Stanky,BRO,Dodgers,22,2B,726.0,,,5.1912150382995605,5.1912150382995605
1007215,Whitey Kurowski,Whitey Kurowski,STL,Cardinals,28,3B,573.0,,,5.0973052978515625,5.0973052978515625
1011209,Goody Rosen,Goody Rosen,BRO,Dodgers,22,CF,673.0,,,4.996104717254639,4.996104717254639
1013512,Dixie Walker,Dixie Walker,BRO,Dodgers,22,RF,688.0,,,4.983696937561035,4.983696937561035
1010046,Claude Passeau,Claude Passeau,CHC,Cubs,17,P,96.0,227.0,4.936032295227051,-0.028331322595477104,4.907700972631574
1007533,Dutch Leonard,Dutch Leonard,WAS,Senators,8,P,87.0,216.0,4.686488151550293,0.1458490937948227,4.832337245345116
1012622,Nick Strincevich,Nick Strincevich,PIT,Pirates,27,P,94.0,228.3333,4.795383453369141,-0.12180794030427933,4.673575513064861
1009904,Mel Ott,Mel Ott,NYG,Giants,30,RF,532.0,,,4.604653835296631,4.604653835296631
1013196,Dizzy Trout,Dizzy Trout,DET,Tigers,6,P,104.0,246.3333,4.057759761810303,0.5172706842422485,4.575030446052551
1005020,Hal Gregg,Hal Gregg,BRO,Dodgers,22,P,101.0,254.3333,4.31241512298584,0.20351813733577728,4.515933260321617
1005080,Steve Gromek,Steve Gromek,CLE,Indians,5,P,104.0,251.0,3.9250173568725586,0.5245576500892639,4.4495750069618225
1009244,Wally Moses,Wally Moses,CHW,White Sox,4,RF,641.0,,,4.4444074630737305,4.4444074630737305
1009948,Andy Pafko,Andy Pafko,CHC,Cubs,17,CF,608.0,,,4.432407379150391,4.432407379150391
1008307,Eddie Mayo,Eddie Mayo,DET,Tigers,6,2B,561.0,,,4.408551216125488,4.408551216125488
1003848,Nick Etten,Nick Etten,NYY,Yankees,9,1B,663.0,,,4.332529067993164,4.332529067993164
1009321,Van Mungo,Van Mungo,NYG,Giants,30,P,78.0,183.0,3.847224473953247,0.3283948600292206,4.175619333982468
1014193,Roger Wolff,Roger Wolff,WAS,Senators,8,P,95.0,250.0,4.650296688079834,-0.47952499985694885,4.170771688222885
1004709,Carden Gillenwater,Carden Gillenwater,BSN,Braves,16,CF,600.0,,,4.1343207359313965,4.1343207359313965
1005560,Jeff Heath,Jeff Heath,CLE,Indians,5,LF,429.0,,,4.078639984130859,4.078639984130859
1003837,Bobby Estalella,Bobby Estalella,PHA,Athletics,10,CF,527.0,,,4.007652282714844,4.007652282714844
1005064,Oscar Grimes,Oscar Grimes,NYY,Yankees,9,3B,595.0,,,3.98746395111084,3.98746395111084
1007202,Joe Kuhel,Joe Kuhel,WAS,Senators,8,1B,615.0,,,3.9186408519744873,3.9186408519744873
1010537,Ray Prim,Ray Prim,CHC,Cubs,17,P,61.0,165.3333,3.617506980895996,0.2635217308998108,3.881028711795807
1003224,Paul Derringer,Paul Derringer,CHC,Cubs,17,P,84.0,213.6666,4.026769161224365,-0.1519836038351059,3.8747855573892593
1006447,Don Johnson,Don Johnson,CHC,Cubs,17,2B,614.0,,,3.8395566940307617,3.8395566940307617
1011383,Bill Salkeld,Bill Salkeld,PIT,Pirates,27,C,317.0,,,3.8158633708953857,3.8158633708953857
1001234,Lou Boudreau,Lou Boudreau,CLE,Indians,5,SS,402.0,,,3.728412389755249,3.728412389755249
1001871,Roy Campanella,Roy Campanella,BEG,Elite Giants,1132,C,215.0,15.3333,0.23231235146522522,3.444282293319702,3.6765946447849274
1007718,Ernie Lombardi,Ernie Lombardi,NYG,Giants,30,C,417.0,,,3.6706156730651855,3.6706156730651855
1011315,Jim Russell,Jim Russell,PIT,Pirates,27,LF,589.0,,,3.6532864570617676,3.6532864570617676
1000047,Buster Adams,Buster Adams,- - -,- - -,0,CF,707.0,,,3.5808024555444717,3.5808024555444717
1015881,Booker McDaniel,Booker McDaniel,KCM,Monarchs,1124,P,58.0,144.3333,3.140270709991455,0.4099998474121094,3.5502705574035645
1009413,George Myatt,George Myatt,WAS,Senators,8,2B,575.0,,,3.48175311088562,3.48175311088562
1007468,Thornton Lee,Thornton Lee,CHW,White Sox,4,P,85.0,228.3333,3.4553112983703613,-0.05614043027162552,3.399170868098736
1014768,Bill Byrd,Bill Byrd,BEG,Elite Giants,1132,P,61.0,121.0,3.1250953674316406,0.23713546991348267,3.3622308373451233
1014533,Frank Austin,Frank Austin,PS,Stars,1144,SS,215.0,,,3.263012647628784,3.263012647628784
1008825,Dutch Meyer,Dutch Meyer,CLE,Indians,5,2B,567.0,,,3.25449538230896,3.25449538230896
1009784,Luis Olmo,Luis Olmo,BRO,Dodgers,22,LF,595.0,,,3.2365903854370117,3.2365903854370117
1007748,Ed Lopat,Ed Lopat,CHW,White Sox,4,P,85.0,199.3333,2.537466049194336,0.6914397478103638,3.2289057970046997
1000600,Red Barrett,Red Barrett,- - -,- - -,0,P,114.0,284.6666,4.089937090873718,-0.8813055213540792,3.208631569519639
1002033,George Case,George Case,WAS,Senators,8,LF,561.0,,,3.1918044090270996,3.1918044090270996
1004996,Hank Greenberg,Hank Greenberg,DET,Tigers,6,LF,312.0,,,3.188674211502075,3.188674211502075
1007578,Buddy Lewis,Buddy Lewis,WAS,Senators,8,RF,306.0,,,3.1655466556549072,3.1655466556549072
1014315,Hank Wyse,Hank Wyse,CHC,Cubs,17,P,109.0,278.3333,3.6721975803375244,-0.5195254683494568,3.1526721119880676
1005526,Frankie Hayes,Frankie Hayes,- - -,- - -,0,C,579.0,,,3.128384053707123,3.128384053707123
1001800,Milt Byrnes,Milt Byrnes,SLB,Browns,2,RF/CF,540.0,,,3.12705659866333,3.12705659866333
1003733,Bob Elliott,Bob Elliott,PIT,Pirates,27,3B/RF,608.0,,,3.124793291091919,3.124793291091919
1008108,Marty Marion,Marty Marion,STL,Cardinals,28,SS,477.0,,,3.1189746856689453,3.1189746856689453
1002222,Russ Christopher,Russ Christopher,PHA,Athletics,10,P,88.0,227.3333,3.038652181625366,0.02239243872463703,3.0610446203500032
1006428,Bob Johnson,Bob Johnson,BOS,Red Sox,3,LF,593.0,,,3.0594077110290527,3.0594077110290527
1002848,Tony Cuccinello,Tony Cuccinello,CHW,White Sox,4,3B,450.0,,,3.048828363418579,3.048828363418579
1005756,Ed Heusser,Ed Heusser,CIN,Reds,18,P,85.0,223.0,2.615525960922241,0.41036495566368103,3.0258909165859222
1001208,Hank Borowy,Hank Borowy,- - -,- - -,0,P,108.0,254.66660000000002,2.827190339565277,0.17842203192412853,3.0056123714894056
1014255,Chuck Workman,Chuck Workman,BSN,Braves,16,3B,580.0,,,2.976402521133423,2.976402521133423
1001166,Tiny Bonham,Tiny Bonham,NYY,Yankees,9,P,71.0,180.6666,2.4941070079803467,0.4002648591995239,2.8943718671798706
1005189,Mickey Haefner,Mickey Haefner,WAS,Senators,8,P,97.0,238.3333,2.3556976318359375,0.5349921584129333,2.890689790248871
1000597,Johnny Barrett,Johnny Barrett,PIT,Pirates,27,RF/CF,594.0,,,2.8893635272979736,2.8893635272979736
1001693,Ken Burkhart,Ken Burkhart,STL,Cardinals,28,P,82.0,217.3333,2.867220640182495,-0.045044030994176865,2.8221766091883183
1015243,Josh Gibson,Josh Gibson,HG,Grays,1137,C,176.0,,,2.7890896797180176,2.7890896797180176
1006022,Johnny Hopp,Johnny Hopp,STL,Cardinals,28,RF,505.0,,,2.7764382362365723,2.7764382362365723
1013089,Jim Tobin,Jim Tobin,- - -,- - -,0,P,120.0,254.9999,2.315132185816765,0.4596073906868696,2.7747395765036345
1009546,Bobo Newsom,Bobo Newsom,PHA,Athletics,10,P,94.0,257.3333,3.178154468536377,-0.40455642342567444,2.7735980451107025
1008683,George McQuinn,George McQuinn,SLB,Browns,2,1B,561.0,,,2.7364144325256348,2.7364144325256348
1005955,Al Hollingsworth,Al Hollingsworth,SLB,Browns,2,P,68.0,173.3333,2.535877227783203,0.1781374216079712,2.7140146493911743
1008169,Hersh Martin,Hersh Martin,NYY,Yankees,9,LF,479.0,,,2.709109306335449,2.709109306335449
1009554,Bill Nicholson,Bill Nicholson,CHC,Cubs,17,RF,660.0,,,2.697368860244751,2.697368860244751
1003280,Johnny Dickshot,Johnny Dickshot,CHW,White Sox,4,LF,542.0,,,2.6942293643951416,2.6942293643951416
1011070,Jackie Robinson,Jackie Robinson,KCM,Monarchs,1124,SS,136.0,,,2.6472179889678955,2.6472179889678955
1006768,Charlie Keller,Charlie Keller,NYY,Yankees,9,LF,194.0,,,2.6084659099578857,2.6084659099578857
1003312,Vince DiMaggio,Vince DiMaggio,PHI,Phillies,26,CF,497.0,,,2.5904157161712646,2.5904157161712646
1011418,Ray Sanders,Ray Sanders,STL,Cardinals,28,1B,631.0,,,2.5824906826019287,2.5824906826019287
1001375,Harry Brecheen,Harry Brecheen,STL,Cardinals,28,P,64.0,157.3333,2.834552526473999,-0.2608884274959564,2.5736640989780426
1009548,Skeeter Newsome,Skeeter Newsome,BOS,Red Sox,3,2B/SS,476.0,,,2.5414011478424072,2.5414011478424072
